"","ID","Name","state.name","x","y","Max.Wind","Year","Month","cat","color"
"1","AL031901","UNNAMED","north carolina",-75.84005687,35.95994313,80.16577641,1901,7,1,"red"
"2","AL041903","UNNAMED","new jersey",-74.7,39.16388835,80.49617936,1903,9,1,"red"
"3","AL021904","UNNAMED","massachusetts",-70.23885142,42.03785389,86.29667241,1904,9,1,"red"
"4","AL041904","UNNAMED","florida",-80.34753803,25.34753803,78.29087297,1904,10,1,"red"
"5","AL021906","UNNAMED","florida",-80.74143217,25.15856783,86.02364312,1906,6,1,"red"
"6","AL051906","UNNAMED","south carolina",-79.2376647,33.3125549,91.93816001,1906,9,1,"red"
"7","AL081906","UNNAMED","florida",-80.79391123,25.15913315,117.0982135,1906,10,3,"red"
"8","AL031908","UNNAMED","north carolina",-76.99555031,34.70185404,80.55400327,1908,7,1,"red"
"9","AL031911","UNNAMED","south carolina",-80.69315687,32.19828922,97.79569979,1911,8,2,"red"
"10","AL041913","UNNAMED","north carolina",-76.70091376,34.73363792,85.16343731,1913,9,1,"red"
"11","AL041916","UNNAMED","south carolina",-79.56658009,32.99987014,103.1095264,1916,7,2,"red"
"12","AL101924","UNNAMED","florida",-81.43636706,25.84545412,89.60635126,1924,10,1,"red"
"13","AL011926","UNNAMED","florida",-80.95892833,29.10595222,93.56471941,1926,7,1,"red"
"14","AL071926","UNNAMED","florida",-80.31742067,25.60804031,143.8335373,1926,9,4,"red"
"15","AL011928","UNNAMED","florida",-80.28974284,27.38974284,94.44330554,1928,8,1,"red"
"16","AL041928","UNNAMED","florida",-80.04488899,26.72040409,143.7195823,1928,9,4,"red"
"17","AL021929","UNNAMED","florida",-81.1264509,25.15419325,109.7911992,1929,9,2,"red"
"18","AL061933","UNNAMED","north carolina",-75.82522225,36.13643214,86.37397942,1933,8,1,"red"
"19","AL111933","UNNAMED","florida",-80.06411485,26.88042628,126.4840569,1933,9,3,"red"
"20","AL071935","UNNAMED","florida",-80.13745096,25.89375817,97.75576684,1935,11,2,"red"
"21","AL061938","UNNAMED","new york",-72.9,40.68744996,120.8271513,1938,9,3,"red"
"22","AL031940","UNNAMED","south carolina",-80.84971676,32.10994335,97.40328637,1940,8,2,"red"
"23","AL051941","UNNAMED","florida",-80.33996924,25.5159877,97.70835942,1941,10,2,"red"
"24","AL031944","UNNAMED","north carolina",-78.10095187,33.90190374,80.55337048,1944,8,1,"red"
"25","AL071944","UNNAMED","new york",-72.14372928,40.94689227,103.4426242,1944,9,2,"red"
"26","AL091945","UNNAMED","florida",-80.34753803,25.34753803,132.1804881,1945,9,4,"red"
"27","AL041947","UNNAMED","florida",-80.11940402,26.1,132.2680161,1947,9,4,"red"
"28","AL091947","UNNAMED","georgia",-81.05300861,31.8,103.485886,1947,10,2,"red"
"29","AL081948","UNNAMED","florida",-81.32569734,25.69721062,131.5111646,1948,9,4,"red"
"30","AL091948","UNNAMED","florida",-80.82521613,25.17478387,103.4008515,1948,10,2,"red"
"31","AL021949","UNNAMED","florida",-80.04894548,26.6,132.2853917,1949,8,4,"red"
"32","AL111950","KING","florida",-80.21913552,25.73827103,132.2056759,1950,10,4,"red"
"33","AL021952","ABLE","south carolina",-80.60545297,32.3163589,97.78744938,1952,8,2,"red"
"34","AL031953","BARBARA","north carolina",-76.1,35.36867393,86.3420707,1953,8,1,"red"
"35","AL061954","CAROL","connecticut",-71.99169757,41.32490728,115.0677354,1954,8,3,"red"
"36","AL081954","EDNA","massachusetts",-70.50634577,41.39048135,109.3216159,1954,9,2,"red"
"37","AL141954","HAZEL","south carolina",-78.60458171,33.8450195,132.2912012,1954,10,4,"red"
"38","AL021955","CONNIE","north carolina",-76.60791738,34.97624787,97.80239017,1955,8,2,"red"
"39","AL081955","IONE","north carolina",-76.7,34.79549388,103.568318,1955,9,2,"red"
"40","AL081959","GRACIE","south carolina",-80.4453081,32.5,132.201997,1959,9,4,"red"
"41","AL051961","ESTHER","massachusetts",-70.18536918,41.26093902,79.71453186,1961,9,1,"red"
"42","AL051964","CLEO","florida",-80.12229124,26.09277665,96.72510322,1964,8,2,"red"
"43","AL061964","DORA","florida",-81.28994742,29.8842782,108.7396443,1964,9,2,"red"
"44","AL111964","ISBELL","florida",-80.06203483,26.87071952,115.6895664,1964,10,3,"red"
"45","AL031965","BETSY","florida",-80.98293383,25.13772451,125.6034449,1965,9,3,"red"
"46","AL141968","GLADYS","florida",-81.25113405,29.81583503,80.30690775,1968,10,1,"red"
"47","AL161969","GERDA","maine",-67.28400479,44.64798562,107.559596,1969,9,2,"red"
"48","AL091979","DAVID","florida",-80.19763669,27.19645503,97.8161034,1979,9,2,"red"
"49","AL101984","DIANA","north carolina",-78.02962127,33.90987376,92.2469713,1984,9,1,"red"
"50","AL091985","GLORIA","new york",-73.16044113,40.96285307,86.38266105,1985,9,1,"red"
"51","AL051986","CHARLEY","north carolina",-75.82268427,36.43761826,80.36951218,1986,8,1,"red"
"52","AL111989","HUGO","south carolina",-79.79069583,32.78976542,138.0811767,1989,9,4,"red"
"53","AL031991","BOB","rhode island",-71.3315812,41.49122507,98.14889376,1991,8,2,"red"
"54","AL041992","ANDREW","florida",-80.34646465,25.50516274,166.6847061,1992,8,5,"red"
"55","AL051995","ERIN","florida",-80.42166345,27.73801983,86.26807282,1995,8,1,"red"
"56","AL021996","BERTHA","north carolina",-77.90959728,34.04427301,101.1488816,1996,7,2,"red"
"57","AL061996","FRAN","north carolina",-78.0152616,33.92834297,115.0303992,1996,9,3,"red"
"58","AL021998","BONNIE","north carolina",-77.7,34.33059496,108.1720591,1998,8,2,"red"
"59","AL081999","FLOYD","north carolina",-77.63643616,34.37564275,101.2429219,1999,9,2,"red"
"60","AL131999","IRENE","florida",-81.1003975,25.2996025,80.55449718,1999,10,1,"red"
"61","AL132003","ISABEL","north carolina",-76.58533248,35.32810152,98.57762282,2003,9,2,"red"
"62","AL062004","FRANCES","florida",-80.19719396,27.19929849,103.5698383,2004,9,2,"red"
"63","AL112004","JEANNE","florida",-80.19730324,27.19966291,120.8308187,2004,9,3,"red"
"64","AL092011","IRENE","north carolina",-76.57660558,34.76238512,86.21104712,2011,8,1,"red"
"65","AL182012","SANDY","new jersey",-74.41040805,39.41040805,80.5543869,2012,10,1,"red"
"66","AL012014","ARTHUR","north carolina",-76.57086582,34.72913418,97.75028572,2014,7,2,"red"
"67","AL142016","ATTHEW","south carolina",-79.47935624,33.02064376,86.32639639,2016,10,1,"red"
"68","AL062018","ORENCE","north carolina",-77.82465371,34.17534629,91.93662568,2018,9,1,"red"
"69","AL092020","ISAIAS","north carolina",-78.52002928,33.86327966,92.0173526,2020,8,1,"red"
