"","ID","Name","state.name","x","y","Max.Wind","Year","Month","cat","color"
"1","AL011900","UNNAMED","texas",-95.17883345,29.16897926,137.3521843,1900,9,4,"blue"
"2","AL041901","UNNAMED","louisiana",-89.49194172,29.40805828,86.3046142,1901,8,1,"blue"
"3","AL031903","UNNAMED","florida",-85.60981609,30.11963219,92.01053665,1903,9,1,"blue"
"4","AL061906","UNNAMED","mississippi",-88.68921909,30.37843817,109.288923,1906,9,2,"blue"
"5","AL021909","UNNAMED","texas",-97.21637302,26.1,97.78057116,1909,6,2,"blue"
"6","AL041909","UNNAMED","texas",-95.37449942,28.93724971,111.7835468,1909,7,3,"blue"
"7","AL091909","UNNAMED","louisiana",-91.3003346,29.50158934,115.0778499,1909,9,3,"blue"
"8","AL031910","UNNAMED","texas",-97.56897498,26.9,75.75800453,1910,9,1,"blue"
"9","AL051910","UNNAMED","florida",-81.99992877,26.50071228,109.3239831,1910,10,2,"blue"
"10","AL021911","UNNAMED","alabama",-87.55719803,30.32859902,79.51910504,1911,8,1,"blue"
"11","AL061912","UNNAMED","texas",-97.47350658,27.32051974,84.9326583,1912,10,1,"blue"
"12","AL021915","UNNAMED","texas",-95.16836412,29.23418206,131.3137798,1915,8,4,"blue"
"13","AL041915","UNNAMED","florida",-85.38883558,29.92743127,91.18756458,1915,9,1,"blue"
"14","AL061915","UNNAMED","louisiana",-90.2809655,29.20937954,123.4535689,1915,9,3,"blue"
"15","AL021916","UNNAMED","mississippi",-88.40307631,30.40615262,120.817791,1916,7,3,"blue"
"16","AL061916","UNNAMED","texas",-97.49074192,27.04537096,129.8181433,1916,8,4,"blue"
"17","AL141916","UNNAMED","florida",-87.40735078,30.34119378,109.18994,1916,10,2,"blue"
"18","AL041917","UNNAMED","florida",-86.46327649,30.51393626,112.0854789,1917,9,3,"blue"
"19","AL011918","UNNAMED","louisiana",-93.20695117,29.81042675,120.8244699,1918,8,3,"blue"
"20","AL021919","UNNAMED","texas",-97.45438144,27.24410898,112.7138359,1919,9,3,"blue"
"21","AL021920","UNNAMED","louisiana",-90.8054751,29.10958143,97.81233345,1920,9,2,"blue"
"22","AL011921","UNNAMED","texas",-95.91384634,28.65230976,90.3424282,1921,6,1,"blue"
"23","AL061921","UNNAMED","florida",-82.78668464,28.1088769,115.0640317,1921,10,3,"blue"
"24","AL061923","UNNAMED","louisiana",-91,29.20937971,80.55342926,1923,10,1,"blue"
"25","AL051924","UNNAMED","florida",-85.28429996,29.70785002,86.24927264,1924,9,1,"blue"
"26","AL031926","UNNAMED","louisiana",-90.89327916,29.15295411,114.2371948,1926,8,3,"blue"
"27","AL011929","UNNAMED","texas",-96.54499595,28.40356854,90.5607077,1929,6,1,"blue"
"28","AL021932","UNNAMED","texas",-95.24684052,29.01561351,148.1993503,1932,8,4,"blue"
"29","AL031932","UNNAMED","alabama",-88.24841888,30.39683776,85.70092277,1932,9,1,"blue"
"30","AL081933","UNNAMED","texas",-97.21637302,26.1,126.4938974,1933,9,3,"blue"
"31","AL011934","UNNAMED","louisiana",-91.67602152,29.77193545,97.56421843,1934,6,2,"blue"
"32","AL031934","UNNAMED","texas",-97.21957171,28.11568369,85.19611758,1934,7,1,"blue"
"33","AL031935","UNNAMED","florida",-83.4,29.59403305,97.8122453,1935,9,2,"blue"
"34","AL051936","UNNAMED","florida",-86.63522789,30.44697052,102.8642339,1936,7,2,"blue"
"35","AL021940","UNNAMED","texas",-94.09384251,29.6979475,97.78835615,1940,8,2,"blue"
"36","AL021941","UNNAMED","texas",-95.6,28.81279348,126.4341802,1941,9,3,"blue"
"37","AL031942","UNNAMED","texas",-96.65773752,28.3481146,114.7457724,1942,8,3,"blue"
"38","AL011943","UNNAMED","texas",-94.6083918,29.50335672,103.5555319,1943,7,2,"blue"
"39","AL131944","UNNAMED","florida",-82.49913108,27.20260677,103.5700002,1944,10,2,"blue"
"40","AL011945","UNNAMED","florida",-82.6711634,28.61647806,80.50258806,1945,6,1,"blue"
"41","AL051945","UNNAMED","texas",-96.43672235,28.46327765,102.9887614,1945,8,2,"blue"
"42","AL061946","UNNAMED","florida",-82.59760584,27.52633571,86.29386626,1946,10,1,"blue"
"43","AL051948","UNNAMED","louisiana",-90.43137948,29.20979284,79.88352609,1948,9,1,"blue"
"44","AL111949","UNNAMED","texas",-95.6,28.81279348,109.3118349,1949,10,2,"blue"
"45","AL021950","BAKER","alabama",-87.99153071,30.24234643,86.24117901,1950,8,1,"blue"
"46","AL051950","EASY","florida",-82.80357155,29.09464267,120.8222538,1950,9,3,"blue"
"47","AL091953","FLORENCE","florida",-86.18659872,30.3536051,91.59148044,1953,9,1,"blue"
"48","AL121953","HAZEL","florida",-82.09750155,26.70142769,86.30817246,1953,10,1,"blue"
"49","AL071956","FLOSSY","florida",-86.39806956,30.40077218,92.06206818,1956,9,1,"blue"
"50","AL021957","AUDREY","louisiana",-93.70454377,29.77728115,126.5399655,1957,6,3,"blue"
"51","AL051959","DEBRA","texas",-95.2,29.10010251,86.30842074,1959,7,1,"blue"
"52","AL051960","DONNA","florida",-81.60587919,25.91175838,120.8368909,1960,9,3,"blue"
"53","AL061960","ETHEL","mississippi",-89.00056656,30.40113312,80.55384614,1960,9,1,"blue"
"54","AL031961","CARLA","texas",-96.63803381,28.35705072,126.1564175,1961,9,3,"blue"
"55","AL101964","HILDA","louisiana",-91.56782531,29.64826204,108.9520724,1964,10,2,"blue"
"56","AL011966","ALMA","florida",-84.4186102,29.91766776,85.96202865,1966,6,1,"blue"
