year,Time,Latitude,Longitude,Max Winds,SS,RMW,Central,States,Storm
6/25/1851$,2100Z,28.2N,96.8W,80,1,---,-974,BTX1,---------------
8/23/1851$,2100Z,30.1N,85.7W,100,3,---,-950,"AFL3,IGA1","""Great Middle Florida"""
8/22/1852$*,1200Z,23.8N,81.1W,90,2,---,-970,BFL2,---------------
8/26/1852,0600Z,30.2N,88.6W,100,3,10,961,"AL3,MS3,LA2,AFL1","""Great Mobile"""
9/12/1852$,0000Z,28.0N,82.8W,70,1,---,-982,BFL1,---------------
10/9/1852$,2100Z,29.9N,84.4W,90,2,---,-965,"AFL2,IGA1","""Middle Florida"""
10/21/1853*,0600Z,30.9N,80.9W,70,1,---,-965,GA1,---------------
6/26/1854$,1200Z,26.2N,97.0W,70,1,---,-982,ATX1,---------------
9/8/1854,2000Z,31.7N,81.1W,100,3,40,950,"GA3,SC2,DFL1","""Great Carolina"""
9/18/1854,2100Z,28.9N,95.3W,90,2,---,-965,BTX2,"""Matagorda"""
9/16/1855$,0300Z,29.2N,89.5W,110,3,---,-945,"LA3,MS3","""Middle Gulf Shore"""
8/10/1856$,1800Z,29.2N,91.1W,130,4,10,934,LA4,"""Last Island"""
8/31/1856$,0600Z,30.2N,85.9W,90,2,---,-965,"AFL2,IAL1,IGA1","""Southeastern States"""
9/13/1857,0000Z,33.9N,78.0W,90,2,---,961,NC2,---------------
9/16/1858,1700Z,40.9N,72.2W,80,1,45,-976,NY1,"""New England"""
9/16/1858,1800Z,41.4N,72.0W,70,1,45,979,"CT1,RI1,MA1","""New England"""
9/16/1859,0000Z,30.3N,88.1W,70,1,---,-982,"AL1,AFL1",---------------
10/28/1859$,1800Z,27.7N,82.8W,80,1,---,-974,"BFL2,CFL1",---------------
8/11/1860$,2000Z,29.2N,90.0W,110,3,---,-945,"LA3,MS3,AL2",---------------
9/15/1860$,0400Z,29.3N,89.6W,90,2,---,-965,"LA2,MS2,AL1",---------------
10/2/1860$,1700Z,29.5N,91.4W,90,2,---,-965,LA2,---------------
8/16/1861$*,0000Z,24.2N,82.0W,70,1,---,-978,BFL1,"""Key West"""
9/27/1861,1700Z,34.5N,77.4W,70,1,---,-985,NC1,"""Equinoctial"""
11/2/1861,1000Z,34.7N,76.6W,70,1,---,-985,NC1,"""Expedition"""
9/13/1865$,2100Z,29.8N,93.4W,90,2,---,-965,"LA2,CTX1","""Sabine River"""
10/23/1865$,1000Z,24.6N,81.7W,90,2,---,-969,BFL2,---------------
10/23/1865$,1400Z,25.4N,81.1W,90,2,---,-969,"BFL2,CFL1",---------------
7/15/1866,1200Z,28.5N,96.5W,90,2,---,-965,BTX2,---------------
6/22/1867,1400Z,32.9N,79.7W,70,1,---,-985,SC1,---------------
10/2/1867$#,1500Z,25.4N,97.1W,70,1,---,-969,ATX1,"""Galveston"""
10/4/1867$,1500Z,29.2N,91.0W,90,2,---,-965,"LA2,CTX1",---------------
10/6/1867$,1500Z,29.6N,83.4W,70,1,---,-982,AFL1,---------------
8/17/1869,0700Z,28.1N,96.8W,90,2,---,-965,BTX2,"""Lower Texas Coast"""
9/5/1869$,1200Z,29.2N,90.0W,70,1,---,-982,LA1,---------------
9/8/1869&,2100Z,41.0N,71.9W,80,1,30,963,NY1,"""Eastern New England"""
9/8/1869,2200Z,41.4N,71.7W,100,3,30,965,"RI3,MA3,CT1","""Eastern New England"""
10/4/1869&,1900Z,41.3N,70.5W,80,1,30,-965,MA1,"""Saxby's Gale"""
10/4/1869&,2000Z,41.7N,70.4W,80,1,30,-965,MA1,"""Saxby's Gale"""
10/4/1869,2300Z,43.7N,70.1W,90,2,30,-968,ME2,"""Saxby's Gale"""
7/30/1870,1800Z,30.5N,88.0W,70,1,---,-982,AL1,"""Mobile"""
10/10/1870$*,0500Z,24.6N,80.8W,70,1,---,-970,"BFL1,CFL1","""Twin Key West (I)"""
10/20/1870$,1400Z,24.7N,82.8W,80,1,---,-977,BFL1,"""Twin Key West (II)"""
10/20/1870$,2000Z,26.0N,81.6W,80,1,---,-977,BFL1,---------------
8/17/1871$,0200Z,27.1N,80.2W,100,3,30,955,"CFL3,DFL1,AFL1",---------------
8/25/1871$,0500Z,27.6N,80.3W,90,2,---,-965,"CFL2,DFL1",---------------
9/6/1871$,1400Z,29.2N,83.0W,70,1,---,-982,"AFL1,BFL1",---------------
9/19/1873$,1500Z,29.9N,84.4W,70,1,---,-982,AFL1,---------------
10/7/1873$,0100Z,26.5N,82.2W,100,3,25,959,"BFL3,CFL2,DFL1",---------------
9/28/1874$,0300Z,29.1N,82.9W,70,1,---,-982,AFL1,---------------
9/28/1874,1800Z,32.8N,80.0W,80,1,---,981,"SC1,NC1",---------------
9/16/1875,2100Z,27.7N,97.2W,100,3,---,-955,"BTX3,ATX2",---------------
9/17/1876,1400Z,34.4N,77.6W,80,1,---,980,"NC1,VA1",---------------
10/20/1876$,0500Z,25.8N,81.4W,90,2,---,973,"BFL2,CFL1",---------------
9/18/1877$,1600Z,29.2N,91.0W,70,1,---,-982,LA1,---------------
9/19/1877$,2000Z,30.4N,86.6W,70,1,---,-982,AFL1,---------------
10/3/1877$,0500Z,30.0N,85.5W,100,3,---,-955,"AFL3,IGA1",---------------
