"","Year","Count_A"
"1",1900,0
"2",1901,1
"3",1902,0
"4",1903,1
"5",1904,2
"6",1905,0
"7",1906,3
"8",1907,0
"9",1908,1
"10",1909,0
"11",1910,0
"12",1911,1
"13",1912,0
"14",1913,1
"15",1914,0
"16",1915,0
"17",1916,1
"18",1917,0
"19",1918,0
"20",1919,0
"21",1920,0
"22",1921,0
"23",1922,0
"24",1923,0
"25",1924,1
"26",1925,0
"27",1926,2
"28",1927,0
"29",1928,2
"30",1929,1
"31",1930,0
"32",1931,0
"33",1932,0
"34",1933,2
"35",1934,0
"36",1935,1
"37",1936,0
"38",1937,0
"39",1938,1
"40",1939,0
"41",1940,1
"42",1941,1
"43",1942,0
"44",1943,0
"45",1944,2
"46",1945,1
"47",1946,0
"48",1947,2
"49",1948,2
"50",1949,1
"51",1950,1
"52",1951,0
"53",1952,1
"54",1953,1
"55",1954,3
"56",1955,2
"57",1956,0
"58",1957,0
"59",1958,0
"60",1959,1
"61",1960,0
"62",1961,1
"63",1962,0
"64",1963,0
"65",1964,3
"66",1965,1
"67",1966,0
"68",1967,0
"69",1968,1
"70",1969,1
"71",1970,0
"72",1971,0
"73",1972,0
"74",1973,0
"75",1974,0
"76",1975,0
"77",1976,0
"78",1977,0
"79",1978,0
"80",1979,1
"81",1980,0
"82",1981,0
"83",1982,0
"84",1983,0
"85",1984,1
"86",1985,1
"87",1986,1
"88",1987,0
"89",1988,0
"90",1989,1
"91",1990,0
"92",1991,1
"93",1992,1
"94",1993,0
"95",1994,0
"96",1995,1
"97",1996,2
"98",1997,0
"99",1998,1
"100",1999,2
"101",2000,0
"102",2001,0
"103",2002,0
"104",2003,1
"105",2004,2
"106",2005,0
"107",2006,0
"108",2007,0
"109",2008,0
"110",2009,0
"111",2010,0
"112",2011,1
"113",2012,1
"114",2013,0
"115",2014,1
"116",2015,0
"117",2016,1
"118",2017,0
"119",2018,1
"120",2019,0
"121",2020,1
"122",2021,0
"123",2022,0
"124",2023,0
