"county_full","state_id","lng","lat","population","SVI","COUNTY","COUNTYTYPE","HRCN_HLRR"
"Alachua County","FL",-82.3577,29.6747,279729,0.2879,"Alachua","County","Relatively High"
"Bay County","FL",-85.6203,30.2652,181055,0.4545,"Bay","County","Very High"
"Bradford County","FL",-82.1687,29.95,27816,0.7273,"Bradford","County","Relatively High"
"Brevard County","FL",-80.7323,28.2937,610723,0.1364,"Brevard","County","Very High"
"Broward County","FL",-80.4871,26.1523,1940907,0.8636,"Broward","County","Relatively High"
"Calhoun County","FL",-85.1972,30.406,13753,0.7121,"Calhoun","County","Relatively High"
"Charlotte County","FL",-81.9114,26.9058,189900,0.1818,"Charlotte","County","Very High"
"Citrus County","FL",-82.4794,28.8489,155173,0.197,"Citrus","County","Very High"
"Collier County","FL",-81.3474,26.1108,380221,0.3788,"Collier","County","Very High"
"Columbia County","FL",-82.6215,30.2242,69832,0.7727,"Columbia","County","Relatively High"
"DeSoto County","FL",-81.8095,27.1864,34258,1,"DeSoto","County","Very High"
"Dixie County","FL",-83.1587,29.6086,16737,0.5606,"Dixie","County","Relatively High"
"Escambia County","FL",-87.363,30.669,321296,0.6061,"Escambia","County","Very High"
"Flagler County","FL",-81.3136,29.4614,117515,0.0909,"Flagler","County","Relatively High"
"Franklin County","FL",-84.8137,29.8766,12276,0.7879,"Franklin","County","Relatively High"
"Gadsden County","FL",-84.6136,30.5795,43746,0.9091,"Gadsden","County","Relatively High"
"Gilchrist County","FL",-82.8004,29.7258,18070,0.4697,"Gilchrist","County","Relatively High"
"Glades County","FL",-81.189,26.9564,12179,0.8788,"Glades","County","Very High"
"Gulf County","FL",-85.2263,29.9565,15002,0.2424,"Gulf","County","Very High"
"Hamilton County","FL",-82.9479,30.4964,13492,0.9545,"Hamilton","County","Relatively High"
"Hardee County","FL",-81.81,27.4927,25528,0.9697,"Hardee","County","Relatively High"
"Hendry County","FL",-81.1659,26.5535,39902,0.9848,"Hendry","County","Relatively High"
"Hernando County","FL",-82.424,28.5537,196621,0.3333,"Hernando","County","Relatively High"
"Highlands County","FL",-81.341,27.3433,102339,0.7576,"Highlands","County","Relatively High"
"Hillsborough County","FL",-82.3088,27.9292,1468560,0.6667,"Hillsborough","County","Relatively High"
"Holmes County","FL",-85.814,30.8679,19529,0.5455,"Holmes","County","Very High"
"Indian River County","FL",-80.6064,27.6943,160986,0.1667,"Indian River","County","Very High"
"Jackson County","FL",-85.2155,30.7954,47704,0.5,"Jackson","County","Relatively High"
"Jefferson County","FL",-83.8953,30.4375,14458,0.4242,"Jefferson","County","Relatively High"
"Lafayette County","FL",-83.1811,29.9855,8107,0.8333,"Lafayette","County","Very High"
"Lee County","FL",-81.8332,26.578,772902,0.4394,"Lee","County","Very High"
"Leon County","FL",-84.2779,30.458,294128,0.4091,"Leon","County","Relatively High"
"Levy County","FL",-82.7434,29.3184,43268,0.5152,"Levy","County","Relatively High"
"Liberty County","FL",-84.8829,30.2413,7704,0.6515,"Liberty","County","Relatively High"
"Madison County","FL",-83.4701,30.4441,17986,0.6364,"Madison","County","Relatively High"
"Manatee County","FL",-82.3153,27.4719,405069,0.303,"Manatee","County","Very High"
"Marion County","FL",-82.0567,29.2102,378225,0.6212,"Marion","County","Relatively High"
"Martin County","FL",-80.4315,27.0775,159399,0.1212,"Martin","County","Very High"
"Miami-Dade County","FL",-80.5624,25.615,2688237,0.8939,"Miami-Dade","County","Relatively High"
"Monroe County","FL",-81.1089,25.3192,82044,0.3939,"Monroe","County","Very High"
"Nassau County","FL",-81.8019,30.6107,91538,0.0152,"Nassau","County","Relatively High"
"Okaloosa County","FL",-86.5917,30.6913,212021,0.2121,"Okaloosa","County","Very High"
"Okeechobee County","FL",-80.8886,27.3864,39870,0.9242,"Okeechobee","County","Relatively High"
"Palm Beach County","FL",-80.4655,26.6476,1494805,0.803,"Palm Beach","County","Very High"
"Pasco County","FL",-82.392,28.3092,569211,0.3636,"Pasco","County","Relatively High"
"Pinellas County","FL",-82.7255,27.9198,959918,0.3182,"Pinellas","County","Relatively High"
"Polk County","FL",-81.6976,27.9489,736229,0.8485,"Polk","County","Relatively High"
"Putnam County","FL",-81.7443,29.6087,73604,0.9394,"Putnam","County","Relatively High"
"Santa Rosa County","FL",-87.0219,30.7004,188994,0.0606,"Santa Rosa","County","Relatively High"
"Sarasota County","FL",-82.3315,27.1845,439392,0.0758,"Sarasota","County","Very High"
"St. Johns County","FL",-81.4407,29.9016,278722,0,"St. Johns","County","Relatively High"
"St. Lucie County","FL",-80.4721,27.3773,334682,0.5909,"St. Lucie","County","Very High"
"Sumter County","FL",-82.081,28.7048,131832,0.0303,"Sumter","County","Relatively High"
"Suwannee County","FL",-82.9915,30.1956,43881,0.6818,"Suwannee","County","Relatively High"
"Taylor County","FL",-83.6035,30.047,21421,0.5303,"Taylor","County","Relatively High"
"Union County","FL",-82.3714,30.0439,15524,0.4848,"Union","County","Relatively High"
"Volusia County","FL",-81.1819,29.0584,558520,0.3485,"Volusia","County","Relatively High"
"Walton County","FL",-86.1697,30.6436,76618,0.2576,"Walton","County","Very High"
"Washington County","FL",-85.6653,30.6106,25014,0.5758,"Washington","County","Very High"
