"state_id","county_full","lng","lat","population","SVI"
"TX","Harris County",-95.3938,29.8578,4726177,0.834
"FL","Miami-Dade County",-80.5624,25.615,2688237,0.8939
"TX","Dallas County",-96.7778,32.7666,2604053,0.8142
"TX","Tarrant County",-97.2911,32.7719,2113854,0.5178
"TX","Bexar County",-98.52,29.4489,2014059,0.7589
"FL","Broward County",-80.4871,26.1523,1940907,0.8636
"FL","Palm Beach County",-80.4655,26.6476,1494805,0.803
"FL","Hillsborough County",-82.3088,27.9292,1468560,0.6667
"FL","Orange County",-81.3235,28.5144,1427403,0.8182
"TX","Travis County",-97.782,30.3344,1289054,0.2688
"TX","Collin County",-96.5724,33.188,1079153,0.0711
"GA","Fulton County",-84.467,33.7902,1061944,0.3228
"FL","Duval County",-81.6715,30.3313,995708,0.697
"FL","Pinellas County",-82.7255,27.9198,959918,0.3182
"GA","Gwinnett County",-84.0236,33.9619,957977,0.4114
"TX","Denton County",-97.1168,33.2055,914870,0.0949
"TX","Hidalgo County",-98.1812,26.3969,873167,0.9763
"TX","El Paso County",-106.2348,31.7686,863832,0.9565
"TX","Fort Bend County",-95.7709,29.5275,832607,0.1542
"FL","Lee County",-81.8332,26.578,772902,0.4394
"GA","Cobb County",-84.5767,33.9416,765813,0.2089
"GA","DeKalb County",-84.2264,33.7716,761209,0.538
"FL","Polk County",-81.6976,27.9489,736229,0.8485
"AL","Jefferson County",-86.8964,33.5543,672265,0.5152
"TX","Montgomery County",-95.503,30.3002,629989,0.166
"TX","Williamson County",-97.6004,30.6475,617396,0.083
"FL","Brevard County",-80.7323,28.2937,610723,0.1364
"FL","Pasco County",-82.392,28.3092,569211,0.3636
"FL","Volusia County",-81.1819,29.0584,558520,0.3485
"FL","Seminole County",-81.2363,28.717,471321,0.1515
"LA","East Baton Rouge Parish",-91.0956,30.5383,454369,0.5238
"FL","Sarasota County",-82.3315,27.1845,439392,0.0758
"LA","Jefferson Parish",-90.1276,29.7882,436171,0.5397
"TX","Cameron County",-97.5186,26.1332,421854,0.9723
"AL","Mobile County",-88.2058,30.7877,413878,0.7424
"FL","Manatee County",-82.3153,27.4719,405069,0.303
"FL","Osceola County",-81.1495,28.0626,393745,0.7424
"AL","Madison County",-86.5502,34.7631,389781,0.1364
"FL","Lake County",-81.7113,28.7615,386829,0.2727
"LA","Orleans Parish",-89.9289,30.0687,380408,0.6825
"FL","Collier County",-81.3474,26.1108,380221,0.3788
"FL","Marion County",-82.0567,29.2102,378225,0.6212
"TX","Brazoria County",-95.4521,29.1898,374600,0.2727
"TX","Bell County",-97.4788,31.0373,372821,0.6877
"TX","Nueces County",-97.6134,27.7254,353245,0.7708
"TX","Galveston County",-94.9642,29.3944,350801,0.3715
"FL","St. Lucie County",-80.4721,27.3773,334682,0.5909
"FL","Escambia County",-87.363,30.669,321296,0.6061
"TX","Lubbock County",-101.8205,33.6102,311509,0.4506
"GA","Clayton County",-84.3576,33.542,296312,0.9177
"GA","Chatham County",-81.1329,32.0043,296266,0.5063
"FL","Leon County",-84.2779,30.458,294128,0.4091
"FL","Alachua County",-82.3577,29.6747,279729,0.2879
"FL","St. Johns County",-81.4407,29.9016,278722,0
"GA","Cherokee County",-84.4762,34.244,268567,0.0316
"TX","Webb County",-99.3315,27.7611,267282,0.9684
"LA","St. Tammany Parish",-89.9584,30.4103,266168,0.0794
"TX","McLennan County",-97.2018,31.5524,261090,0.6126
"TX","Jefferson County",-94.1629,29.8841,254942,0.8617
"GA","Forsyth County",-84.1251,34.2255,253225,0.019
"TX","Hays County",-98.0312,30.0579,245351,0.2885
"LA","Lafayette Parish",-92.0639,30.2068,243175,0.1905
"GA","Henry County",-84.1542,33.453,240853,0.1772
"LA","Caddo Parish",-93.8823,32.5806,236259,0.7937
"TX","Smith County",-95.2692,32.375,234667,0.5494
"TX","Brazos County",-96.3024,30.6608,234548,0.4269
"AL","Baldwin County",-87.7226,30.7277,233420,0.1212
"AL","Tuscaloosa County",-87.5251,33.2896,231558,0.2879
"AL","Montgomery County",-86.2076,32.2203,228132,0.8939
"MS","Hinds County",-90.4429,32.2667,226541,0.6543
"AL","Shelby County",-86.6607,33.2643,223916,0
"FL","Clay County",-81.8579,29.9831,219650,0.1061
"FL","Okaloosa County",-86.5917,30.6913,212021,0.2121
"LA","Calcasieu Parish",-93.3581,30.2293,210770,0.127
"MS","Harrison County",-89.116,30.5122,208748,0.5679
"GA","Richmond County",-82.0736,33.3596,206153,0.7785
"GA","Hall County",-83.8195,34.3171,204953,0.5443
"GA","Muscogee County",-84.8771,32.51,204572,0.8228
"FL","Hernando County",-82.424,28.5537,196621,0.3333
"TX","Ellis County",-96.7947,32.3484,195509,0.2095
"FL","Charlotte County",-81.9114,26.9058,189900,0.1818
