"year","Time","Latitude","Longitude","Max.Winds","SS","RMW","Central","States","Storm","month"
1851,"2100Z",28.2,-96.8,80,1,"---","-974","BTX1","---------------",6
1851,"2100Z",30.1,-85.7,100,3,"---","-950","AFL3,IGA1","""Great Middle Florida""",8
1852,"0600Z",30.2,-88.6,100,3,"10","961","AL3,MS3,LA2,AFL1","""Great Mobile""",8
1852,"0000Z",28,-82.8,70,1,"---","-982","BFL1","---------------",9
1852,"2100Z",29.9,-84.4,90,2,"---","-965","AFL2,IGA1","""Middle Florida""",10
1854,"1200Z",26.2,-97,70,1,"---","-982","ATX1","---------------",6
1854,"2100Z",28.9,-95.3,90,2,"---","-965","BTX2","""Matagorda""",9
1855,"0300Z",29.2,-89.5,110,3,"---","-945","LA3,MS3","""Middle Gulf Shore""",9
1856,"1800Z",29.2,-91.1,130,4,"10","934","LA4","""Last Island""",8
1856,"0600Z",30.2,-85.9,90,2,"---","-965","AFL2,IAL1,IGA1","""Southeastern States""",8
1859,"0000Z",30.3,-88.1,70,1,"---","-982","AL1,AFL1","---------------",9
1859,"1800Z",27.7,-82.8,80,1,"---","-974","BFL2,CFL1","---------------",10
1860,"2000Z",29.2,-90,110,3,"---","-945","LA3,MS3,AL2","---------------",8
1860,"0400Z",29.3,-89.6,90,2,"---","-965","LA2,MS2,AL1","---------------",9
1860,"1700Z",29.5,-91.4,90,2,"---","-965","LA2","---------------",10
1861,"0000Z",24.2,-82,70,1,"---","-978","BFL1","""Key West""",8
1865,"2100Z",29.8,-93.4,90,2,"---","-965","LA2,CTX1","""Sabine River""",9
1865,"1000Z",24.6,-81.7,90,2,"---","-969","BFL2","---------------",10
1866,"1200Z",28.5,-96.5,90,2,"---","-965","BTX2","---------------",7
1867,"1500Z",25.4,-97.1,70,1,"---","-969","ATX1","""Galveston""",10
1867,"1500Z",29.2,-91,90,2,"---","-965","LA2,CTX1","---------------",10
1867,"1500Z",29.6,-83.4,70,1,"---","-982","AFL1","---------------",10
1869,"0700Z",28.1,-96.8,90,2,"---","-965","BTX2","""Lower Texas Coast""",8
1869,"1200Z",29.2,-90,70,1,"---","-982","LA1","---------------",9
1870,"1800Z",30.5,-88,70,1,"---","-982","AL1","""Mobile""",7
1870,"1400Z",24.7,-82.8,80,1,"---","-977","BFL1","""Twin Key West (II)""",10
1870,"2000Z",26,-81.6,80,1,"---","-977","BFL1","---------------",10
1871,"1400Z",29.2,-83,70,1,"---","-982","AFL1,BFL1","---------------",9
1873,"1500Z",29.9,-84.4,70,1,"---","-982","AFL1","---------------",9
1873,"0100Z",26.5,-82.2,100,3,"25","959","BFL3,CFL2,DFL1","---------------",10
1874,"0300Z",29.1,-82.9,70,1,"---","-982","AFL1","---------------",9
1875,"2100Z",27.7,-97.2,100,3,"---","-955","BTX3,ATX2","---------------",9
1877,"1600Z",29.2,-91,70,1,"---","-982","LA1","---------------",9
1877,"2000Z",30.4,-86.6,70,1,"---","-982","AFL1","---------------",9
1877,"0500Z",30,-85.5,100,3,"---","-955","AFL3,IGA1","---------------",10
1878,"1100Z",28.6,-82.6,90,2,"---","-970","AFL2,BFL2,DFL1","---------------",9
1879,"0200Z",29.6,-94.4,90,2,"---","964","CTX2,LA2","---------------",8
1879,"1600Z",29.5,-91.4,110,3,"","-945","LA3","---------------",9
1880,"0100Z",25.8,-97,110,3,"10","931","ATX3","---------------",8
1880,"0400Z",29.7,-84.8,70,1,"---","-982","AFL1","---------------",8
1880,"1900Z",28.9,-82.7,70,1,"---","-982","AFL1","---------------",10
1882,"0200Z",30.4,-86.8,110,3,"---","949","AFL3,IAL1","---------------",9
1882,"0400Z",29.5,-83.3,70,1,"---","-985","AFL1","---------------",10
1886,"1600Z",29.6,-94.2,85,2,"---","-970","CTX2,LA2","---------------",6
1886,"1100Z",30.1,-84,85,2,"---","-970","AFL2,IGA1","---------------",6
1886,"2100Z",29.7,-85.2,85,2,"---","-970","AFL2,IGA1","---------------",6
1886,"0100Z",28.8,-82.7,70,1,"---","-982","AFL1","---------------",7
1886,"1300Z",28.1,-96.8,130,4,"15","925","BTX4","""Indianola""",8
1886,"0700Z",26,-97.2,80,1,"---","-973","ATX1,BTX1","---------------",9
1886,"2200Z",29.8,-93.5,105,3,"---","-950","LA3,CTX2","---------------",10
1887,"1500Z",30.4,-86.6,75,1,"---","-978","AFL1,IAL1","---------------",7
1887,"1700Z",26.1,-97.2,75,1,"40","973","ATX2","---------------",9
1887,"0200Z",29.1,-90.4,75,1,"---","-978","LA1","---------------",10
1888,"0600Z",28.7,-95.7,70,1,"---","-982","BTX1","---------------",6
1888,"1600Z",29.1,-90.7,95,2,"---","-960","LA2,IMS1","---------------",8
1888,"0100Z",29.2,-83.1,95,2,"10","970","AFL2,DFL1","---------------",10
1889,"0400Z",29.1,-89.8,70,1,"---","-982","LA1","---------------",9
1891,"2200Z",28.8,-95.5,80,1,"---","-974","BTX1,CTX1","---------------",7
1893,"1400Z",29.2,-91.1,85,2,"---","-970","LA2","---------------",9
1893,"0800Z",29.3,-89.8,115,4,"10","948","LA4","""Chenier Caminanda""",10
1893,"1600Z",30.3,-88.9,85,2,"15","970","MS2,AL2","---------------",10
1894,"1100Z",24.7,-82,80,1,"---","985","BFL1","---------------",9
1894,"1900Z",26.5,-82,90,2,"---","-975","BFL2,DFL1","---------------",9
1894,"0300Z",30.2,-85.5,105,3,"---","-950","AFL3,IGA1","---------------",10
1895,"0400Z",25,-97.6,65,1,"---","-963","ATX1","---------------",8
1896,"1700Z",30.4,-86.5,85,2,"---","-970","AFL2","---------------",7
1896,"1100Z",29.2,-83.1,110,3,"15","960","AFL3,DFL3,GA2,SC1,INC1,IVA1","---------------",9
1897,"0500Z",29.7,-93.8,75,1,"---","-978","LA1,TX1","---------------",9
1898,"2300Z",29.7,-84.8,70,1,"---","-982","AFL1","---------------",8
1899,"1700Z",29.7,-84.7,85,2,"10","979","AFL2","---------------",8
1900,"0200Z",29.1,-95.1,120,4,"15","936","CX4","""Galveston""",9
1901,"2100Z",29.3,-89.6,75,1,"---","-973","LA1","---------------",8
1901,"1700Z",30.4,-88.8,75,1,"35","973","MS1,AL1","---------------",8
1903,"2300Z",30.1,-85.6,80,1,"---","-974","AFL1","---------------",9
1906,"1100Z",30.2,-88.6,95,2,"45","958","MS2,AL2,AFL2,LA1","---------------",9
1909,"1700Z",26.1,-97.2,85,2,"---","972","ATX2","---------------",6
1909,"1700Z",28.9,-95.3,100,3,"20","959","CTX3","""Velasco""",7
1909,"2200Z",23.7,-97.7,65,1,"---","-955","ATX1","---------------",8
1909,"0000Z",29.5,-91.3,100,3,"30","952","LA3,MS2","""Grand Isle""",9
1910,"2200Z",26.9,-97.4,90,2,"---","-965","ATX2","---------------",9
1910,"1900Z",24.6,-82.6,90,2,"---","941","BFL2","---------------",10
1910,"0600Z",26.5,-82,95,2,"30","955","BFL2","---------------",10
1911,"2200Z",30.3,-87.5,70,1,"---","-982","AFL1,AL1","---------------",8
1912,"0800Z",30.3,-88.4,65,1,"50","-986","AL1,AFL1","---------------",9
1912,"1800Z",27.1,-97.4,85,2,"---","-970","ATX2","---------------",10
1913,"0100Z",27.1,-97.4,65,1,"---","-986","ATX1","---------------",6
1915,"0700Z",29.2,-95.1,115,4,"25","940","CTX4,BTX1,LA1","""Galveston""",8
1915,"1100Z",30,-85.4,80,1,"25","982","AFL1","---------------",9
1915,"1800Z",29,-90.3,110,3,"20","944","LA3,MS2","""New Orleans""",9
1916,"2100Z",30.4,-88.4,105,3,"20","950","MS3,AL2,AFL2","---------------",7
1916,"2200Z",27,-97.4,115,4,"25","932","ATX4","---------------",8
1916,"1400Z",30.4,-87.4,95,2,"20","970","AL2,AFL2","---------------",10
1917,"0200Z",30.4,-86.6,100,3,"40","949","AFL3,LA2,AL1","---------------",9
1918,"1800Z",29.8,-93.2,105,3,"10","-955","LA3,CTX1","---------------",8
1919,"0700Z",24.6,-82.9,130,4,"15","927","BFL4,CFL2","---------------",9
1919,"2100Z",27.2,-97.3,100,3,"35","950","ATX3,BTX3","---------------",9
1920,"0100Z",29.1,-90.8,85,2,"30","975","LA2","---------------",9
1921,"1800Z",28.5,-95.9,80,1,"15","980","BTX1,CTX1","---------------",6
1921,"2000Z",28.1,-82.8,100,3,"20","958","BFL3,AFL2,DFL1","""Tampa Bay""",10
1923,"0600Z",29.2,-91,70,1,"45","983","LA1,MS1","---------------",10
1924,"1400Z",29.7,-85.3,75,1,"---","980","AFL1","---------------",9
1924,"0100Z",25.8,-81.8,80,1,"20","975","BFL1,CFL1","---------------",10
1926,"2300Z",29.2,-90.9,100,3,"20","955","LA3","---------------",8
1926,"2200Z",30.3,-87.5,100,3,"15","955","AFL3,AL3,MS1","---------------",9
1929,"2100Z",28.3,-96.4,80,1,"10","982","BTX1","---------------",6
1929,"0400Z",30.2,-85.7,70,1,"---","975","AFL1","---------------",10
1932,"0400Z",29,-95.2,130,4,"10","935","CTX4,BTX1","""Freeport""",8
1932,"0500Z",30.2,-88.1,75,1,"---","979","AFL1,AL1,MS1","---------------",9
1933,"0100Z",25.8,-97.2,80,1,"25","975","ATX","---------------",8
1933,"0400Z",26.1,-97.2,110,3,"20","-940","ATX3","---------------",9
1934,"1900Z",29.7,-91.7,85,2,"30","966","LA2","---------------",6
1934,"1700Z",28.1,-96.8,75,1,"25","-979","ATX1","---------------",7
1935,"2200Z",29.6,-83.4,85,2,"20","-965","AFL2, IGA1","""Labor Day""",9
1936,"1600Z",27.9,-97,70,1,"5","987","BTX1","---------------",6
1936,"1400Z",30.4,-86.6,90,2,"20","964","AFL2, I-AL1","---------------",7
1938,"0100Z",29.8,-93.4,65,1,"---","-995","LA1","---------------",8
1939,"0600Z",30.4,-86.4,65,1,"---","985","AFL1","---------------",8
1940,"2100Z",29.7,-94.1,85,2,"10","972","CTX2, LA2","---------------",8
1941,"2200Z",28.8,-95.6,110,3,"20","942","CTX3,BTX2","---------------",9
1941,"0900Z",29.9,-84.6,80,1,"20","982","AFL1,IGA1","---------------",10
1942,"1300Z",29.5,-94.6,65,1,"---","992","CTX1","---------------",8
1942,"0900Z",28.3,-96.6,100,3,"20","950","BTX3,CTX2","---------------",8
1943,"1800Z",29.5,-94.6,90,2,"15","967","CTX2","---------------",7
1944,"2100Z",24.6,-82.9,105,3,"30","949","BFL3","---------------",10
1944,"0700Z",27.2,-82.5,90,2,"35","962","DFL1,AFL1","---------------",10
1945,"0800Z",28.6,-82.7,70,1,"---","-985","AFL1","---------------",6
1945,"1200Z",28.2,-96.7,100,3,"10","963","BTX3,ATX1,CTX1","---------------",8
1946,"0200Z",27.5,-82.6,75,1,"35","980","BFL1,AFL1","---------------",10
1947,"2200Z",29.2,-94.9,70,1,"---","984","CTX1","---------------",8
