Year,AMO,AZO_SLP,DAKAR_RAIN,ICELAND_SLP,NAO,SOI,ONI,IND,LANDFALL_COUNTS,HURRICANE,NAME_STORM,MAJOR
1951,0.49,1021.53,1008.86,1004.53,-0.07,-0.28,1,0,0,8,12,3
1952,0.93,1021.19,992.58,1008.51,-0.37,-0.01,0,0,1,5,11,2
1953,0.57,1021.86,888.94,1004.04,0.4,-0.41,1,0,6,7,14,3
1954,0.25,1024.03,886.41,1003.14,0.51,0.45,-1,0,8,7,16,3
1955,0.96,1019.53,990.56,1008.2,-0.64,1.03,-1,0,2,9,13,4
1956,0.41,1022.44,847.08,1006.7,0.17,1.09,-1,0,2,4,12,1
1957,0.55,1021.36,951.96,1006.63,-0.02,-0.18,1,0,1,3,8,2
1958,0.92,1020.53,970.65,1008.03,0.12,-0.15,1,0,1,7,12,3
1959,0.31,1022.28,779.93,1003.75,0.49,0.14,0,0,3,7,14,2
1960,0.52,1020.44,828.68,1007.73,-0.3,0.5,0,0,6,4,8,2
1961,0.17,1020.44,877.19,1003.38,1.05,0.18,0,0,1,8,12,5
1962,0.13,1021.5,783.13,1008.5,-0.13,0.53,0,0,0,4,7,0
1963,0.22,1019.58,823.66,1007.21,-0.39,-0.04,1,0,0,7,10,3
1964,0.22,1020.17,900.32,1006.51,0.24,0.62,-1,0,4,7,13,5
1965,0.38,1021.42,901.79,1009.28,-0.23,-0.51,1,0,2,4,10,1
1966,0.66,1019.67,897.37,1007.57,-0.22,-0.22,0,0,5,7,11,3
1967,-0.2,1022.75,893.48,1004.79,0.56,0.48,0,0,1,6,8,1
1968,0.04,1020.33,559.21,1009.46,-0.62,0.39,1,0,2,5,8,0
1969,-0.04,1019.58,921.73,1007.51,-0.44,-0.35,1,0,1,12,18,5
1970,-0.26,1021.17,625.07,1006.94,0.18,0.48,-1,0,1,5,10,2
1971,-0.21,1021.88,718.44,1006.43,-0.55,1.11,-1,0,0,6,13,1
1972,-0.9,1022.33,538.34,1003.06,-0.04,-0.48,1,0,0,3,7,0
1973,-0.6,1022.62,580.69,1007.27,-0.09,0.74,-1,0,0,4,8,1
1974,-0.89,1022.54,714.69,1002.81,0.59,1.1,-1,0,0,4,11,2
1975,-0.47,1021.87,829.45,1006.39,0.05,1.33,-1,0,0,6,9,3
1976,-0.69,1021.27,683.14,1004.68,-0.07,0.32,0,0,0,6,10,2
1977,-0.15,1020.55,550.39,1007.84,-0.21,-0.63,1,0,0,5,6,1
1978,-0.22,1020.85,790.53,1005.51,0.21,-0.07,0,0,0,5,12,2
1979,-0.06,1021.02,663.42,1005.32,0.19,0.14,0,0,0,6,9,2
1980,0.05,1021.2,556.82,1008.62,-0.37,-0.07,0,0,0,9,11,2
1981,0.14,1021.48,682.06,1007.37,-0.09,0.24,0,0,0,7,12,3
1982,-0.8,1022.3,597.65,1002.3,0.67,-0.88,1,0,0,2,6,1
1983,-0.85,1021.49,457.31,1005.65,0.34,-0.76,1,0,1,3,4,1
1984,-0.81,1022.74,582.79,1003.96,0.26,0.14,-1,0,1,5,13,1
1985,-0.73,1019.57,645.63,1009.38,-0.47,0.28,-1,0,7,7,11,3
1986,-1.14,1023.55,658.39,1003.29,0.56,-0.08,0,0,2,4,6,0
1987,-0.17,1018.83,681.57,1008.03,-0.51,-0.93,1,0,1,3,7,1
1988,-0.21,1021.34,752.12,1006.29,-0.32,0.82,-1,0,1,5,12,3
1989,-0.7,1021.22,786.63,1001.04,0.57,0.71,-1,0,3,7,11,2
1990,-1.02,1022.79,581.28,1000.58,1.23,-0.12,0,0,0,8,14,1
1991,-0.92,1022.21,597.45,1005.33,0.34,-0.58,1,0,1,4,8,2
1992,-1.12,1022.32,618.76,1002.34,1.1,-0.83,1,0,2,4,7,1
1993,-1,1022.58,634.1,1005.11,0.12,-0.65,0,0,1,4,8,1
1994,-1.08,1022.61,784.89,1002.34,0.51,-0.83,0,0,0,3,7,0
1995,-0.04,1020.72,703.63,1007.23,-0.61,-0.02,-1,0,4,11,19,5
1996,-0.01,1020.19,622.72,1008.04,-1.01,0.68,0,0,2,9,13,6
1997,0.86,1019.75,645.55,1005.33,-0.18,-0.73,1,0,3,3,8,1
1998,0.58,1022.25,689.95,1005.43,0.26,-0.02,-1,0,4,10,14,3
1999,-0.01,1022.67,878.39,1003.65,0.04,0.85,-1,0,5,8,12,5
2000,-0.14,1022.04,722.54,1004.78,-0.04,0.85,-1,0,0,8,15,3
2001,0.46,1020.04,636.26,1007.78,-0.45,0.26,0,0,0,9,15,4
2002,-0.16,-,491.55,1004.18,-0.04,-0.33,1,0,1,4,12,2
2003,0.32,-,837.22,1005.63,-0.3,-0.09,0,0,2,7,16,3
2004,0.26,-,640.72,1005.38,0.01,-0.26,1,0,9,9,15,6
2005,0.77,-,894.67,1008.18,-0.25,-0.18,0,0,8,15,28,7
2006,0.85,-,701.26,1004.5,-0.18,0.03,0,0,0,5,10,2
2007,0.74,-,658.82,1005.15,-0.38,0.27,-1,0,1,6,15,2
2008,0.37,-,832.47,1005,-0.68,1.13,-1,0,4,8,16,5
2009,0.01,-,814.05,1004.39,-0.38,0.17,1,0,0,3,9,2
2010,1.52,-,924.34,1011.37,-2.34,0.91,-1,0,0,12,19,5
2011,0.1,-,652.7,1001,0.46,1.4,-1,0,1,7,19,4
2012,0.56,-,888.79,1007.38,-0.63,0.13,0,0,3,10,19,2
2013,0.17,-,758.83,1004.87,0.59,0.45,0,0,0,2,14,0
2014,-0.26,-,659.45,1001.68,0.1,-0.13,0,0,2,6,8,2
2015,-1.28,-,742.55,1001.43,1.16,-0.79,1,0,0,4,11,2
2016,-0.6,-,737.44,1005.47,0.4,-0.19,-1,0,2,7,15,4
2017,-0.11,-,740.24,1005.17,0.57,0.36,0,0,6,10,17,6
2018,-0.95,-,686.7,1002.98,0.72,0.27,0,0,2,8,15,2
2019,-0.04,-,710.87,1007.38,-0.03,-0.5,1,0,2,6,18,3
2020,-0.65,-,779.85,1002.49,0.34,0.47,-1,0,7,13,30,6
2021,0.05,-,731.46,1008.4,-0.67,0.92,-1,0,2,7,21,4
2022,0.24,-,936.4,1005,-0.06,1.31,-1,0,5,8,14,2
2023,0.7,-,-,1007.55,-0.57,-0.12,1,0,1,7,20,3
