Year,AMO,AZO_SLP,DAKAR_RAIN,ICELAND_SLP,NAO,SOI,ONI,IND,LANDFALL_COUNTS,HURRICANE,NAME_STORM,MAJOR
1865,-,1020.65,-,1005.73,0.33,-,-,1,3,3,7,0
1866,-,1020.84,-,1005.08,0.31,-,-,1,1,6,7,1
1867,-,1019.47,-,1008.73,-0.08,-,-,1,4,7,9,1
1868,-,1023.4,-,1000.78,1.58,-,-,1,0,3,4,0
1869,-,1022.39,-,1006.46,0.54,-,-,1,7,7,10,1
1870,-,1019.71,-,1008.45,-0.42,-,-,1,4,10,11,2
1871,-,1021.26,-,1007.21,-0.12,-,-,1,3,6,8,2
1872,-,1020.98,-,1006.68,-0.8,-,-,1,0,4,5,0
1873,-,1021.58,-,1005.72,0.12,-,-,1,2,3,5,2
1874,-,1022.94,-,1003.61,0.47,-,-,1,2,4,7,0
1875,-,1019.49,-,1006.96,-0.11,-,-,1,1,5,6,1
1876,-,1019.75,-,1006.86,-0.22,-,-,1,2,4,5,2
1877,-,1020.61,-,1005.01,0.05,-,-,1,3,3,8,1
1878,-,1018.96,-,1009.99,-0.92,-,-,1,3,10,12,2
1879,-,1021,-,1006.54,-0.36,-,-,1,4,6,8,2
1880,-,1020.3,-,1007.78,-0.01,-,-,1,5,9,11,2
1881,-,1018.78,-,1007.26,0.09,-,-,1,2,4,7,0
1882,-,1023.37,-,1004.85,1.1,-,-,1,2,4,6,2
1883,-,1021.95,-,1003.2,0.64,-,-,1,1,3,4,2
1884,-,1021.24,-,1002.74,0.58,-,-,1,0,4,4,1
1885,-,1020.49,-,1007.17,0.19,-,-,1,1,6,8,0
1886,-,1021.55,-,1005.68,-0.32,-,-,1,7,10,12,4
1887,-,1018.88,-,1007.84,-0.64,-,-,1,4,11,19,2
1888,-,1019.98,-,1009.43,0.01,-,-,1,4,6,9,2
1889,-,1024.42,-,1005.53,0.64,-,-,1,1,6,9,0
1890,-,1023.41,-,1002.94,0.6,-,-,1,0,2,4,1
1891,-,1020.78,-,1005.63,0.03,-,-,1,2,7,10,1
1892,-,1020.59,-,1009.44,-0.64,-,-,1,0,5,9,0
1893,-,1020.02,-,1007.74,-0.1,-,-,1,6,10,12,5
1894,-,1021.99,-,1003.69,0.87,-,-,1,6,5,7,4
1895,-,1018.3,-,1009.04,-0.24,-,-,1,1,2,6,0
1896,-,1022.73,-,1006.72,0.35,-,-,1,3,6,7,2
1897,-,1021.72,-,1006.08,0.85,-,-,1,1,3,6,0
1898,-,1020.28,-,1003.09,0.53,-,-,1,3,5,11,1
1899,-,1018.95,-,1007.08,0.04,-,-,0,3,5,10,2
1900,-,1022.1,-,1006.87,0.08,-,-,0,1,3,7,2
1901,-,1020.92,886.7,1007.28,-0.4,-,-,0,3,6,13,0
1902,-,1019.7,628.37,1008.28,-0.43,-,-,0,0,3,5,0
1903,-,1022.08,740.62,1003.11,0.87,-,-,0,3,7,10,1
1904,-,1021.73,780.02,1003.78,0.62,-,-,0,2,4,6,0
1905,-,1022.45,1008.63,1006.07,0.1,-,-,0,0,1,5,1
1906,-,1023.37,1157.54,1005.26,0.28,-,-,0,6,6,11,3
1907,-,1023.55,666.6,1005.24,0.56,-,-,0,0,0,5,0
1908,-,1023.59,768.73,1005.39,0.63,-,-,0,1,6,10,1
1909,-,1020.88,870.08,1007.52,-0.1,-,-,0,5,6,12,4
1910,-,1023.26,808.93,1006.09,-0.04,-,-,0,3,3,5,1
1911,-,1022.21,685.95,1005.8,0.48,-,-,0,2,3,6,0
1912,-,1021.45,691.3,1006,0.21,-,-,0,2,4,7,1
1913,-,1022.81,600.66,1002.53,0.87,-,-,0,3,4,6,0
1914,-,1022.76,877.22,1002.62,0.8,-,-,0,0,0,1,0
1915,-,1020.34,853.88,1009.03,-0.87,-,-,0,4,5,6,3
1916,-,1021.33,834.35,1005.67,-0.42,-,-,0,4,10,15,5
1917,-,1021.83,800.47,1009.06,-0.38,-,-,0,1,2,4,2
1918,-,1022.02,1009.11,1004.71,0.51,-,-,0,2,4,6,1
1919,-,1021.96,775.61,1006.72,0.35,-,-,0,2,2,5,1
1920,-,1022.68,796.54,1002.2,0.62,-,-,0,1,4,5,0
1921,-,1022.95,703.28,1003.62,0.16,-,-,0,2,5,7,2
1922,-,1023.39,806.52,1004.49,0.52,-,-,0,0,3,5,1
1923,-,1023.33,798.62,1003.31,0.82,-,-,0,1,4,9,1
1924,-,1020.72,856.57,1003.68,-0.01,-,-,0,4,5,11,2
1925,-,1021.51,805.41,1005.55,0.29,-,-,0,0,1,4,0
1926,-,1020.71,720.4,1005.03,0.1,-,-,0,5,8,11,6
1927,-,1021.29,1038.63,1006.51,-0.26,-,-,0,0,4,8,1
1928,-,1021.98,945.2,1003.66,0.22,-,-,0,3,4,6,1
1929,-,1020.85,906.94,1005.81,0.17,-,-,0,3,3,5,1
1930,-,1022.23,802.26,1004.04,0.13,-,-,0,0,2,3,2
1931,-,1021.08,680.76,1006.48,-0.32,-,-,0,0,3,13,1
1932,-,1021.56,837.1,1007.37,-0.06,-,-,0,2,6,15,4
1933,-,1021.73,1011.7,1007,-0.42,-,-,0,6,11,20,6
1934,-,1022.49,772.87,1003.87,0.42,-,-,0,5,7,13,1
1935,-,1023.46,995.52,1005.03,0.25,-,-,0,3,5,8,3
1936,-,1020.94,1051.14,1007.24,-0.13,-,-,0,3,7,17,1
1937,-,1019.44,833.88,1004.4,0.17,-,-,0,0,4,11,1
1938,-,1023.38,893.42,1001.81,0.92,-,-,0,3,4,9,2
1939,-,1021.55,834.83,1007.65,-0.46,-,-,0,2,3,6,1
1940,-,1020.34,893.11,1007.4,-0.5,-,-,0,2,6,9,0
1941,-,1020.88,663.62,1009.6,-0.73,-,-,0,4,4,6,3
1942,-,1020.44,741.02,1006.29,-0.53,-,-,0,2,4,11,1
1943,-,1023.92,925.52,1003.73,0.97,-,-,0,1,5,10,2
1944,-,1022.13,737.52,1006.43,-0.1,-,-,0,6,8,14,3
1945,-,1019.85,821.81,1007.18,0.22,-,-,0,4,5,11,2
1946,-,1022.88,834.64,1004.89,0.47,-,-,0,1,3,7,0
1947,-,1019.63,786.55,1007.81,-0.09,-,-,0,5,5,10,2
1948,-,1021.44,771.81,1004.02,0.8,-,-,0,4,6,10,4
1949,-,1022.53,731.41,1004.33,0.48,-,-,0,3,7,16,2
1950,-,1021.78,1093.39,1003.36,0.49,-,-,0,5,11,16,6
1951,0.49,1021.53,1008.86,1004.53,-0.07,-0.28,1,0,0,8,12,3
1952,0.93,1021.19,992.58,1008.51,-0.37,-0.01,0,0,1,5,11,2
1953,0.57,1021.86,888.94,1004.04,0.4,-0.41,1,0,6,7,14,3
1954,0.25,1024.03,886.41,1003.14,0.51,0.45,-1,0,8,7,16,3
1955,0.96,1019.53,990.56,1008.2,-0.64,1.03,-1,0,2,9,13,4
1956,0.41,1022.44,847.08,1006.7,0.17,1.09,-1,0,2,4,12,1
1957,0.55,1021.36,951.96,1006.63,-0.02,-0.18,1,0,1,3,8,2
1958,0.92,1020.53,970.65,1008.03,0.12,-0.15,1,0,1,7,12,3
1959,0.31,1022.28,779.93,1003.75,0.49,0.14,0,0,3,7,14,2
1960,0.52,1020.44,828.68,1007.73,-0.3,0.5,0,0,6,4,8,2
1961,0.17,1020.44,877.19,1003.38,1.05,0.18,0,0,1,8,12,5
1962,0.13,1021.5,783.13,1008.5,-0.13,0.53,0,0,0,4,7,0
1963,0.22,1019.58,823.66,1007.21,-0.39,-0.04,1,0,0,7,10,3
1964,0.22,1020.17,900.32,1006.51,0.24,0.62,-1,0,4,7,13,5
1965,0.38,1021.42,901.79,1009.28,-0.23,-0.51,1,0,2,4,10,1
1966,0.66,1019.67,897.37,1007.57,-0.22,-0.22,0,0,5,7,11,3
1967,-0.2,1022.75,893.48,1004.79,0.56,0.48,0,0,1,6,8,1
1968,0.04,1020.33,559.21,1009.46,-0.62,0.39,1,0,2,5,8,0
1969,-0.04,1019.58,921.73,1007.51,-0.44,-0.35,1,0,1,12,18,5
1970,-0.26,1021.17,625.07,1006.94,0.18,0.48,-1,0,1,5,10,2
1971,-0.21,1021.88,718.44,1006.43,-0.55,1.11,-1,0,0,6,13,1
1972,-0.9,1022.33,538.34,1003.06,-0.04,-0.48,1,0,0,3,7,0
1973,-0.6,1022.62,580.69,1007.27,-0.09,0.74,-1,0,0,4,8,1
1974,-0.89,1022.54,714.69,1002.81,0.59,1.1,-1,0,0,4,11,2
1975,-0.47,1021.87,829.45,1006.39,0.05,1.33,-1,0,0,6,9,3
1976,-0.69,1021.27,683.14,1004.68,-0.07,0.32,0,0,0,6,10,2
1977,-0.15,1020.55,550.39,1007.84,-0.21,-0.63,1,0,0,5,6,1
1978,-0.22,1020.85,790.53,1005.51,0.21,-0.07,0,0,0,5,12,2
1979,-0.06,1021.02,663.42,1005.32,0.19,0.14,0,0,0,6,9,2
1980,0.05,1021.2,556.82,1008.62,-0.37,-0.07,0,0,0,9,11,2
1981,0.14,1021.48,682.06,1007.37,-0.09,0.24,0,0,0,7,12,3
1982,-0.8,1022.3,597.65,1002.3,0.67,-0.88,1,0,0,2,6,1
1983,-0.85,1021.49,457.31,1005.65,0.34,-0.76,1,0,1,3,4,1
1984,-0.81,1022.74,582.79,1003.96,0.26,0.14,-1,0,1,5,13,1
1985,-0.73,1019.57,645.63,1009.38,-0.47,0.28,-1,0,7,7,11,3
1986,-1.14,1023.55,658.39,1003.29,0.56,-0.08,0,0,2,4,6,0
1987,-0.17,1018.83,681.57,1008.03,-0.51,-0.93,1,0,1,3,7,1
1988,-0.21,1021.34,752.12,1006.29,-0.32,0.82,-1,0,1,5,12,3
1989,-0.7,1021.22,786.63,1001.04,0.57,0.71,-1,0,3,7,11,2
1990,-1.02,1022.79,581.28,1000.58,1.23,-0.12,0,0,0,8,14,1
1991,-0.92,1022.21,597.45,1005.33,0.34,-0.58,1,0,1,4,8,2
1992,-1.12,1022.32,618.76,1002.34,1.1,-0.83,1,0,2,4,7,1
1993,-1,1022.58,634.1,1005.11,0.12,-0.65,0,0,1,4,8,1
1994,-1.08,1022.61,784.89,1002.34,0.51,-0.83,0,0,0,3,7,0
1995,-0.04,1020.72,703.63,1007.23,-0.61,-0.02,-1,0,4,11,19,5
1996,-0.01,1020.19,622.72,1008.04,-1.01,0.68,0,0,2,9,13,6
1997,0.86,1019.75,645.55,1005.33,-0.18,-0.73,1,0,3,3,8,1
1998,0.58,1022.25,689.95,1005.43,0.26,-0.02,-1,0,4,10,14,3
1999,-0.01,1022.67,878.39,1003.65,0.04,0.85,-1,0,5,8,12,5
2000,-0.14,1022.04,722.54,1004.78,-0.04,0.85,-1,0,0,8,15,3
2001,0.46,1020.04,636.26,1007.78,-0.45,0.26,0,0,0,9,15,4
2002,-0.16,-,491.55,1004.18,-0.04,-0.33,1,0,1,4,12,2
2003,0.32,-,837.22,1005.63,-0.3,-0.09,0,0,2,7,16,3
2004,0.26,-,640.72,1005.38,0.01,-0.26,1,0,9,9,15,6
2005,0.77,-,894.67,1008.18,-0.25,-0.18,0,0,8,15,28,7
2006,0.85,-,701.26,1004.5,-0.18,0.03,0,0,0,5,10,2
2007,0.74,-,658.82,1005.15,-0.38,0.27,-1,0,1,6,15,2
2008,0.37,-,832.47,1005,-0.68,1.13,-1,0,4,8,16,5
2009,0.01,-,814.05,1004.39,-0.38,0.17,1,0,0,3,9,2
2010,1.52,-,924.34,1011.37,-2.34,0.91,-1,0,0,12,19,5
2011,0.1,-,652.7,1001,0.46,1.4,-1,0,1,7,19,4
2012,0.56,-,888.79,1007.38,-0.63,0.13,0,0,3,10,19,2
2013,0.17,-,758.83,1004.87,0.59,0.45,0,0,0,2,14,0
2014,-0.26,-,659.45,1001.68,0.1,-0.13,0,0,2,6,8,2
2015,-1.28,-,742.55,1001.43,1.16,-0.79,1,0,0,4,11,2
2016,-0.6,-,737.44,1005.47,0.4,-0.19,-1,0,2,7,15,4
2017,-0.11,-,740.24,1005.17,0.57,0.36,0,0,6,10,17,6
2018,-0.95,-,686.7,1002.98,0.72,0.27,0,0,2,8,15,2
