Date,AZO_SLP
1865-01-01,1016
1865-02-01,1016.4
1865-03-01,1023
1865-04-01,1018.8
1865-05-01,1018.4
1865-06-01,1023.5
1865-07-01,1026.8
1865-08-01,1027.5
1865-09-01,1023.2
1865-10-01,1018.3
1865-11-01,1016
1865-12-01,1019.9
1866-01-01,1020.8
1866-02-01,1024
1866-03-01,1020.2
1866-04-01,1015.4
1866-05-01,1017.9
1866-06-01,1023.5
1866-07-01,1025.4
1866-08-01,1022.8
1866-09-01,1024.4
1866-10-01,1018.3
1866-11-01,1017.5
1866-12-01,1019.9
1867-01-01,1010.2
1867-02-01,1022.3
1867-03-01,1005.8
1867-04-01,1025
1867-05-01,1015.4
1867-06-01,1025.1
1867-07-01,1024.4
1867-08-01,1023.9
1867-09-01,1023.8
1867-10-01,1024.6
1867-11-01,1012
1867-12-01,1021.1
1868-01-01,1023.1
1868-02-01,1029
1868-03-01,1029
1868-04-01,1023.1
1868-05-01,1022.4
1868-06-01,1026
1868-07-01,1023.9
1868-08-01,1025.4
1868-09-01,1019.4
1868-10-01,1026.8
1868-11-01,1017.1
1868-12-01,1015.6
1869-01-01,1018.2
1869-02-01,1027.5
1869-03-01,1027.2
1869-04-01,1019.5
1869-05-01,1018.3
1869-06-01,1021.1
1869-07-01,1024.6
1869-08-01,1024.3
1869-09-01,1021.1
1869-10-01,1019.4
1869-11-01,1025.5
1869-12-01,1022
1870-01-01,1023.4
1870-02-01,1008.1
1870-03-01,1014.7
1870-04-01,1020.3
1870-05-01,1023.2
1870-06-01,1024.7
1870-07-01,1025
1870-08-01,1020.2
1870-09-01,1021.6
1870-10-01,1021.9
1870-11-01,1016.6
1870-12-01,1016.8
1871-01-01,1029
1871-02-01,1018.6
1871-03-01,1019.8
1871-04-01,1015.9
1871-05-01,1018.6
1871-06-01,1025.4
1871-07-01,1025
1871-08-01,1021.4
1871-09-01,1020
1871-10-01,1020
1871-11-01,1015.9
1871-12-01,1025.5
1872-01-01,1022.2
1872-02-01,1014.6
1872-03-01,1014.8
1872-04-01,1020.3
1872-05-01,1024.6
1872-06-01,1023.5
1872-07-01,1023
1872-08-01,1022
1872-09-01,1020.2
1872-10-01,1025.2
1872-11-01,1020.8
1872-12-01,1020.6
1873-01-01,1021.5
1873-02-01,1021.6
1873-03-01,1021.5
1873-04-01,1013.5
1873-05-01,1021.9
1873-06-01,1025.4
1873-07-01,1024.6
1873-08-01,1027
1873-09-01,1019.1
1873-10-01,1024.2
1873-11-01,1017.4
1873-12-01,1021.2
1874-01-01,1023.8
1874-02-01,1021.2
1874-03-01,1022.6
1874-04-01,1021.5
1874-05-01,1019.9
1874-06-01,1026
1874-07-01,1024.7
1874-08-01,1024
1874-09-01,1023.2
1874-10-01,1021.6
1874-11-01,1019.4
1874-12-01,1027.4
1875-01-01,1017.2
1875-02-01,1019.1
1875-03-01,1016.8
1875-04-01,1016.7
1875-05-01,1020.8
1875-06-01,1027.2
1875-07-01,1025.4
1875-08-01,1019.9
1875-09-01,1019
1875-10-01,1020.6
1875-11-01,1015.2
1875-12-01,1016
1876-01-01,1022.2
1876-02-01,1017.1
1876-03-01,1021.9
1876-04-01,1024.2
1876-05-01,1024.7
1876-06-01,1027.1
1876-07-01,1024.2
1876-08-01,1023.2
1876-09-01,1017.9
1876-10-01,1014.6
1876-11-01,1007.5
1876-12-01,1012.4
1877-01-01,1019.8
1877-02-01,1025
1877-03-01,1019.8
1877-04-01,1014
1877-05-01,1017.1
1877-06-01,1022.2
1877-07-01,1026.7
1877-08-01,1016.7
1877-09-01,1017.9
1877-10-01,1018.2
1877-11-01,1022.7
1877-12-01,1027.2
1878-01-01,1027.1
1878-02-01,1018.3
1878-03-01,1024.3
1878-04-01,1011.4
1878-05-01,1017
1878-06-01,1021.9
1878-07-01,1025.5
1878-08-01,1018.3
1878-09-01,1022.3
1878-10-01,1016.8
1878-11-01,1016.3
1878-12-01,1008.3
1879-01-01,1019.9
1879-02-01,1023.1
1879-03-01,1024.4
1879-04-01,1021.5
1879-05-01,1024.4
1879-06-01,1019.9
1879-07-01,1025.8
1879-08-01,1021.6
1879-09-01,1023.9
1879-10-01,1021.5
1879-11-01,1011.2
1879-12-01,1014.8
1880-01-01,1018.4
1880-02-01,1018
1880-03-01,1022.1
1880-04-01,1022.4
1880-05-01,1020.4
1880-06-01,1024.6
1880-07-01,1021.4
1880-08-01,1021.8
1880-09-01,1019.8
1880-10-01,1014.4
1880-11-01,1022.3
1880-12-01,1018
1881-01-01,1001
1881-02-01,1020.2
1881-03-01,1007.9
1881-04-01,1016.2
1881-05-01,1023.6
1881-06-01,1025.1
1881-07-01,1026.4
1881-08-01,1022.3
1881-09-01,1017.8
1881-10-01,1020.3
1881-11-01,1018.2
1881-12-01,1026.3
1882-01-01,1023.4
1882-02-01,1021.4
1882-03-01,1029.2
1882-04-01,1021.2
1882-05-01,1019.2
1882-06-01,1026.3
1882-07-01,1025.8
1882-08-01,1025
1882-09-01,1024.6
1882-10-01,1019.4
1882-11-01,1025
1882-12-01,1019.9
1883-01-01,1019.2
1883-02-01,1023.5
1883-03-01,1016.2
1883-04-01,1021.5
1883-05-01,1025.2
1883-06-01,1020
1883-07-01,1022.8
1883-08-01,1024.3
1883-09-01,1021.2
1883-10-01,1024
1883-11-01,1022.3
1883-12-01,1023.2
1884-01-01,1021.8
1884-02-01,1018.4
