Date,
1821-01-01,1004.5
1821-02-01,1012.3
1821-03-01,1002.8
1821-04-01,1013.1
1821-05-01,1018.6
1821-06-01,-9999
1821-07-01,1015.8
1821-08-01,1010.7
1821-09-01,-9999
1821-10-01,-9999
1821-11-01,-9999
1821-12-01,-9999
1822-01-01,-9999
1822-02-01,-9999
1822-03-01,988.4
1822-04-01,1016
1822-05-01,1003
1822-06-01,1014.3
1822-07-01,1019.5
1822-08-01,1009.7
1822-09-01,1008.7
1822-10-01,1006.1
1822-11-01,1007.5
1822-12-01,997.2
1823-01-01,1017.5
1823-02-01,996.8
1823-03-01,995.2
1823-04-01,1016.6
1823-05-01,1012.7
1823-06-01,1013.8
1823-07-01,1012.3
1823-08-01,1006.9
1823-09-01,1004
1823-10-01,1010
1823-11-01,1006.1
1823-12-01,996.9
1824-01-01,995.7
1824-02-01,999.5
1824-03-01,1015.8
1824-04-01,1006.7
1824-05-01,1008.2
1824-06-01,1025.4
1824-07-01,1021.9
1824-08-01,1014.7
1824-09-01,1004.9
1824-10-01,1015.8
1824-11-01,1006.3
1824-12-01,996.4
1825-01-01,997.8
1825-02-01,1001.4
1825-03-01,1003.9
1825-04-01,1015.1
1825-05-01,1019.8
1825-06-01,1011.2
1825-07-01,1015.8
1825-08-01,1007.1
1825-09-01,1009.8
1825-10-01,997.1
1825-11-01,1001.8
1825-12-01,996
1826-01-01,1008.6
1826-02-01,980.7
1826-03-01,1008.3
1826-04-01,1003.7
1826-05-01,1011.3
1826-06-01,1009.9
1826-07-01,1004.3
1826-08-01,1002.9
1826-09-01,1008.9
1826-10-01,997.4
1826-11-01,1009.9
1826-12-01,1002
1827-01-01,1002.6
1827-02-01,1021.4
1827-03-01,999.3
1827-04-01,1011.2
1827-05-01,1003.3
1827-06-01,1004.1
1827-07-01,1009
1827-08-01,1015.7
1827-09-01,1002.6
1827-10-01,1010.1
1827-11-01,1007.9
1827-12-01,986.3
1828-01-01,998
1828-02-01,995.4
1828-03-01,1007.5
1828-04-01,1007
1828-05-01,1011.8
1828-06-01,1009.1
1828-07-01,1010.4
1828-08-01,1009.7
1828-09-01,1010.4
1828-10-01,1000.3
1828-11-01,1005.7
1828-12-01,983.4
1829-01-01,1007.3
1829-02-01,1006.2
1829-03-01,1015.1
1829-04-01,1010.6
1829-05-01,1007.3
1829-06-01,1014
1829-07-01,1008
1829-08-01,1012.7
