"","Year","Count_G"
"1",1900,1
"2",1901,1
"3",1902,0
"4",1903,1
"5",1904,0
"6",1905,0
"7",1906,1
"8",1907,0
"9",1908,0
"10",1909,3
"11",1910,2
"12",1911,1
"13",1912,1
"14",1913,0
"15",1914,0
"16",1915,3
"17",1916,3
"18",1917,1
"19",1918,1
"20",1919,1
"21",1920,1
"22",1921,2
"23",1922,0
"24",1923,1
"25",1924,1
"26",1925,0
"27",1926,1
"28",1927,0
"29",1928,0
"30",1929,1
"31",1930,0
"32",1931,0
"33",1932,2
"34",1933,1
"35",1934,2
"36",1935,1
"37",1936,1
"38",1937,0
"39",1938,0
"40",1939,0
"41",1940,1
"42",1941,1
"43",1942,1
"44",1943,1
"45",1944,1
"46",1945,2
"47",1946,1
"48",1947,0
"49",1948,1
"50",1949,1
"51",1950,2
"52",1951,0
"53",1952,0
"54",1953,2
"55",1954,0
"56",1955,0
"57",1956,1
"58",1957,1
"59",1958,0
"60",1959,1
"61",1960,2
"62",1961,1
"63",1962,0
"64",1963,0
"65",1964,1
"66",1965,0
"67",1966,1
"68",1967,1
"69",1968,0
"70",1969,1
"71",1970,1
"72",1971,1
"73",1972,0
"74",1973,0
"75",1974,1
"76",1975,1
"77",1976,0
"78",1977,0
"79",1978,0
"80",1979,1
"81",1980,1
"82",1981,0
"83",1982,0
"84",1983,1
"85",1984,0
"86",1985,3
"87",1986,1
"88",1987,0
"89",1988,1
"90",1989,2
"91",1990,0
"92",1991,0
"93",1992,0
"94",1993,0
"95",1994,0
"96",1995,1
"97",1996,0
"98",1997,1
"99",1998,2
"100",1999,1
"101",2000,0
"102",2001,0
"103",2002,1
"104",2003,1
"105",2004,2
"106",2005,4
"107",2006,0
"108",2007,1
"109",2008,3
"110",2009,0
"111",2010,0
"112",2011,0
"113",2012,1
"114",2013,0
"115",2014,0
"116",2015,0
"117",2016,1
"118",2017,3
"119",2018,1
"120",2019,0
"121",2020,5
"122",2021,1
"123",2022,1
"124",2023,1
