"","Year","Category","Next_Category","Count","Transition_Prob"
"1",2024,1,1,7841,0.883492957746479
"2",2024,1,2,1014,0.114253521126761
"3",2024,1,3,20,0.00225352112676056
"4",2024,2,1,975,0.873655913978495
"5",2024,2,2,141,0.126344086021505
"6",2024,3,1,8,0.888888888888889
"7",2024,3,2,1,0.111111111111111
"8",2025,1,1,7772,0.880779691749773
"9",2025,1,2,1036,0.117407071622847
"10",2025,1,3,16,0.00181323662737987
"11",2025,2,1,1015,0.8780276816609
"12",2025,2,2,137,0.118512110726644
"13",2025,2,3,4,0.00346020761245675
"14",2025,3,1,17,0.85
"15",2025,3,2,3,0.15
"16",2026,1,1,7643,0.868128123580191
"17",2026,1,2,1146,0.130168105406633
"18",2026,1,3,15,0.00170377101317583
"19",2026,2,1,1032,0.877551020408163
"20",2026,2,2,139,0.118197278911565
"21",2026,2,3,5,0.00425170068027211
"22",2026,3,1,16,0.8
"23",2026,3,2,4,0.2
"24",2027,1,1,7573,0.871361178230353
"25",2027,1,2,1096,0.12610746749511
"26",2027,1,3,22,0.00253135427453688
"27",2027,2,1,1112,0.862684251357642
"28",2027,2,2,173,0.134212567882079
"29",2027,2,3,4,0.00310318076027929
"30",2027,3,1,19,0.95
"31",2027,3,2,1,0.05
"32",2028,1,1,7578,0.870634191176471
"33",2028,1,2,1098,0.126148897058824
"34",2028,1,3,28,0.00321691176470588
"35",2028,2,1,1116,0.878740157480315
"36",2028,2,2,148,0.116535433070866
"37",2028,2,3,6,0.0047244094488189
"38",2028,3,1,21,0.807692307692308
"39",2028,3,2,5,0.192307692307692
"40",2029,1,1,7538,0.864945496270797
"41",2029,1,2,1153,0.132300631095812
"42",2029,1,3,24,0.00275387263339071
"43",2029,2,1,1090,0.871302957633893
"44",2029,2,2,159,0.127098321342926
"45",2029,2,3,2,0.00159872102318145
"46",2029,3,1,32,0.941176470588235
"47",2029,3,2,2,0.0588235294117647
"48",2030,1,1,7434,0.858429561200924
"49",2030,1,2,1192,0.137644341801386
"50",2030,1,3,34,0.00392609699769053
"51",2030,2,1,1118,0.850837138508371
"52",2030,2,2,187,0.142313546423135
"53",2030,2,3,9,0.00684931506849315
"54",2030,3,1,23,0.884615384615385
"55",2030,3,2,3,0.115384615384615
"56",2031,1,1,7327,0.854460641399417
"57",2031,1,2,1207,0.140758017492711
"58",2031,1,3,41,0.00478134110787172
"59",2031,2,1,1191,0.861794500723589
"60",2031,2,2,186,0.134587554269175
"61",2031,2,3,5,0.00361794500723589
"62",2031,3,1,35,0.813953488372093
"63",2031,3,2,8,0.186046511627907
"64",2032,1,1,7303,0.853852449432947
"65",2032,1,2,1202,0.140535484625278
"66",2032,1,3,48,0.00561206594177482
"67",2032,2,1,1191,0.850107066381156
"68",2032,2,2,207,0.147751605995717
"69",2032,2,3,3,0.00214132762312634
"70",2032,3,1,38,0.826086956521739
"71",2032,3,2,8,0.173913043478261
"72",2033,1,1,7218,0.845991561181435
"73",2033,1,2,1281,0.15014064697609
