stage,state,Staging Area Capacity,Inventory Level,obj,staging_area_expand_cost,inventory_expand_cost,replenmship_cost,Shortage_cost,acquire_cost,holding_cost
0,0,20000.0,6000.0,80033871375.0,0.0,-124503750.0,0.0,78895675125.0,1242000000.0,20700000.0
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,20000.0,6000.0,44768724062.5,0.0,0.0,0.0,43517133062.5,1230891000.0,20700000.0
1,2,20000.0,6000.0,21137733387.499996,0.0,0.0,0.0,20461774887.5,655258500.0,20700000.0
1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,20000.0,6000.0,51309258912.5,0.0,0.0,0.0,50253558912.5,1035000000.0,20700000.0
1,5,20000.0,6000.0,19253874587.5,0.0,0.0,0.0,18612174587.5,621000000.0,20700000.0
2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,20000.0,6000.0,21137733387.5,0.0,0.0,0.0,20461774887.5,655258500.0,20700000.0
2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,20000.0,6000.0,51309258912.5,0.0,0.0,0.0,50253558912.5,1035000000.0,20700000.0
2,5,20000.0,6000.0,19253874587.5,0.0,0.0,0.0,18612174587.5,621000000.0,20700000.0
