stage,state,Staging Area Capacity,Inventory Level,obj,staging_area_expand_cost,inventory_expand_cost,replenmship_cost,Shortage_cost,acquire_cost,holding_cost
0,0,225347.0,213347.0,28901435104.5,2931020404.5,8418565800.0,14306943000.0,0.0,2507675000.0,737230900.0
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,225347.0,117001.5,7211414650.000003,0.0,-2991527775.0,7314103500.0,0.0,2484000000.0,404838925.0
1,2,225347.0,51320.666842661034,-173373593.92819405,0.0,-5030917644.535375,3196126012.1436114,0.0,1483177987.8563883,178240050.60718057
1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,225347.0,134153.5,8986646650.0,0.0,-2458958175.0,8497591500.0,0.0,2484000000.0,464013325.0
1,5,225347.0,51320.66684266163,-537797093.9282053,0.0,-5030917644.5352745,2920126012.143568,0.0,1394754487.8564184,178240050.60717842
2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,225347.0,37816.0,4379795544.535375,0.0,-429973655.46462524,2609304000.0,0.0,2070000000.0,130465200.0
2,3,226003.5,226003.5,25710052170.463833,9370552.75,7231869292.713833,15203916500.0,0.0,2484000000.0,780895825.0
2,4,225347.0,129153.5,14105468818.92821,0.0,2657582118.928194,8931320666.666666,0.0,2070000000.0,446566033.3333333
2,5,225347.0,38534.5,3807632904.1448526,0.0,-640191620.8550819,2382880500.0,0.0,1932000000.0,132944025.0
