stage,state,Staging Area Capacity,Inventory Level,obj,staging_area_expand_cost,inventory_expand_cost,replenmship_cost,Shortage_cost,acquire_cost,holding_cost
0,0,260002.0,248002.0,30938522497.0,3425668547.0,9853282800.0,15376443000.0,0.0,1426337500.0,856790650.0
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,260002.0,248002.0,10654894150.0,0.0,0.0,7521103500.0,0.0,2277000000.0,856790650.0
1,2,260002.0,248002.0,5536094649.999999,0.0,0.0,2754273000.0,0.0,1925031000.0,856790650.0
1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,260002.0,248002.0,11838382150.000002,0.0,0.0,9532591500.0,0.0,1449000000.0,856790650.0
1,5,260002.0,248002.0,5171671150.0,0.0,0.0,2658880500.0,0.0,1656000000.0,856790650.0
2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,260002.0,248002.0,10654894150.0,0.0,0.0,9272703000.0,0.0,525400500.0,856790650.0
2,2,260002.0,248002.0,5536094650.0,0.0,0.0,2754273000.0,0.0,1925031000.0,856790650.0
2,3,260002.0,248002.0,24152643650.0,0.0,0.0,14822135500.0,7024717500.0,1449000000.0,856790650.0
2,4,260002.0,248002.0,11838382150.0,0.0,0.0,9532591500.0,0.0,1449000000.0,856790650.0
2,5,260002.0,248002.0,5171671150.0,0.0,0.0,2658880500.0,0.0,1656000000.0,856790650.0
