stage,state,Staging Area Capacity,Inventory Level,obj,staging_area_expand_cost,inventory_expand_cost,replenmship_cost,Shortage_cost,acquire_cost,holding_cost
0,0,260002.0,248002.0,36347276785.00422,3425668547.0,16422138000.0,15376443000.0,0.0,1426337500.0,856790650.0
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,260002.0,248002.0,18566246863.014793,0.0,0.0,14318780500.0,0.0,2484000000.0,856790650.0
1,1,260002.0,170032.0,10446873644.070004,0.0,-4052703750.0,8142103500.0,0.0,1656000000.0,586610400.0
1,2,260002.0,66464.0,5001819054.989871,0.0,-9412347750.0,4495660500.0,0.0,183643500.0,229300800.0
1,3,294725.0,288725.0,21621245787.240086,495618740.5,2809887000.0,15192079000.0,0.0,2484000000.0,997285000.0
1,4,260002.0,141808.0,11535795876.719427,0.0,-5513295750.0,9325591500.0,0.0,1656000000.0,489237600.0
1,5,260002.0,66464.0,4639809970.21863,0.0,-9412347750.0,2585016000.0,0.0,1729864500.0,229300800.0
2,0,266753.69444444444,248002.0,21121617783.680557,0.0,5788012083.333333,15607196906.25,0.0,1185801215.2777777,855812412.1527778
2,1,264000.40606060607,170032.0,11166441679.09091,0.0,1302879631.8181818,8534866345.454545,0.0,1263237154.5454545,586610400.0
2,2,266748.1828571429,43703.0,1102716706.2857144,0.0,-6212271072.857142,2990694994.285714,0.0,1688609005.7142856,150775350.0
2,3,294725.0,288725.0,24839940518.41883,428034366.79545456,9580161175.324675,15183393042.207792,0.0,2484000000.0,996416404.2207792
2,4,264937.2487309645,141808.0,11718756606.852793,0.0,413212511.4213198,9781987271.573605,0.0,1199604228.426396,489237600.0
2,5,267367.48484848486,66464.0,1289163095.4545455,0.0,-5425030340.909091,3459557336.3636365,0.0,855323163.6363636,229300800.0
