stage,state,Staging Area Capacity,Inventory Level,obj,staging_area_expand_cost,inventory_expand_cost,replenmship_cost,Shortage_cost,acquire_cost,holding_cost
0,0,260002.0,248002.0,30938522496.999996,3425668547.0,9853282800.0,13991199621.0,0.0,408548379.0,856790650.0
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,260002.0,66463.99999999991,-738803850.0000038,0.0,-5647408650.000002,4586015999.999994,0.0,367287000.0000069,229300799.99999955
1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,260002.0,141808.0,8162851650.0,0.0,-3307977450.0,9451053129.310345,0.0,657377870.6896552,489237600.0
1,5,260002.0,66464.0,-1103227350.0,0.0,-5647408650.0,4586016000.0,0.0,1656000000.0,229300800.0
2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,260002.0,43703.0,4123350300.0,0.0,-706729050.0,3015506999.999998,15705090000.0,1656000000.0000017,150775350.0
2,3,294725.0,288725.0,28357566890.5,495618740.5,9201605400.0,6214416000.0,0.0,27600000.0,996101250.0
2,4,260002.0,141807.99999999997,14315577439.199999,0.0,2844748339.1999993,6291442080.0,0.0,270199031.9999994,489237600.0
2,5,260002.0,66464.0,4259215782.598608,0.0,-284965517.4013921,4550315303.944316,4205377900.2320185,1718209503.4802785,229300800.0
