stage,state,Staging Area Capacity,Inventory Level,obj,staging_area_expand_cost,inventory_expand_cost,replenmship_cost,Shortage_cost,acquire_cost,holding_cost
0,0,260002.0,248002.0,30938522496.999996,3425668547.0,9853282800.0,13999007661.0,0.0,400740339.0,856790650.0
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,260002.0,170032.0,7953091650.000002,0.0,-2431622250.0,11456208000.0,0.0,2346000000.0,586610400.0
1,2,260002.0,66464.0,-738803850.0,0.0,-5647408650.0,4586016000.0,0.0,367287000.0,229300800.0
1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,260002.0,141808.0,8162851650.0,0.0,-3307977450.0,9760213512.605042,0.0,348217487.39495796,489237600.0
1,5,260002.0,66464.0,-1103227350.0,0.0,-5647408650.0,4586016000.0,0.0,1656000000.0,229300800.0
2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,260002.0,170032.0,14672429100.0,0.0,4287715200.0,6104016000.0,0.0,138000000.0,586610400.0
2,2,260002.0,43703.0,3789145842.857143,0.0,-1040933507.1428572,2936649857.142857,10318555714.285715,1794000000.0,150775350.0
2,3,294725.0,288725.0,28357566890.5,495618740.5,9201605400.0,6064427250.0,0.0,177588750.0,996101250.0
2,4,260002.0,141808.0,14350129038.461538,0.0,2879299938.4615383,6238416057.692307,0.0,251450596.15384614,489237600.0
2,5,260002.0,66464.0,4249437840.2714934,0.0,-294743459.7285068,4539846882.3529415,2188415395.927602,1738117259.0497737,229300800.0
