stage,state,Staging Area Capacity,Inventory Level,obj,staging_area_expand_cost,inventory_expand_cost,replenmship_cost,Shortage_cost,acquire_cost,holding_cost
0,0,136621.99999999997,136621.99999999997,32090531004.66116,13062199999.999998,136621999.99999997,136621999.99999997,11089100000.000002,1800000.0,6831099.999999999
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,136621.99999999997,136621.99999999997,18795580892.497562,0.0,0.0,136621999.99999997,11089100000.000002,1800000.0,6831099.999999999
1,1,136621.99999999997,136621.99999999997,6930128278.253415,4.092726157978177e-07,4.092726157978177e-09,136614865.85365853,9895400000.000002,907134.1463414634,6831099.999999998
1,2,136621.99999999997,135722.00000000003,251599903.42586288,0.0,-44999.99999999554,5857000.0,0.0,0.0,6786100.000000001
1,3,136621.99999999997,136621.99999999997,15711423535.88477,0.0,0.0,98568383.64779875,0.0,690616.3522012578,6831099.999999998
1,4,136621.99999999997,135722.00000000003,273486756.62960035,0.0,-44999.999999996566,46155000.00000001,0.0,0.0,6786100.000000001
1,5,136621.99999999997,135722.00000000003,247827708.12809458,0.0,-44999.99999999554,0.0,0.0,0.0,6786100.000000001
2,0,136621.99999999997,136621.99999999997,18692861060.000004,-2.9103830456733704e-06,472499.9999999278,136621999.99999997,11089100000.000002,1800000.0,6831099.999999998
2,1,136621.99999999997,136621.99999999997,6876488657.912627,0.0,430851.0638297479,136618808.51063827,9895400000.000002,903191.4893617021,6831099.999999999
2,2,136621.99999999997,135722.00000000003,139111428.42663673,0.0,-21792.452830187776,5830000.0,0.0,27000.0,6786100.000000002
2,3,136621.99999999997,136621.99999999997,15619758084.85085,0.0,379591.83673466014,98544129.25170068,0.0,714870.7482993196,6831099.999999999
2,4,136621.99999999997,135722.00000000032,229958433.85825396,0.0,-21715.116279035403,46155000.0,0.0,0.0,6786100.0000000205
2,5,136621.99999999997,135722.0,145302253.2282442,0.0,-22758.62068965572,-1.4112848820614405e-10,0.0,0.0,6786100.0
3,0,136621.99999999997,136621.99999999997,18631398198.03923,0.0,411764.7058822208,76217575.16339868,3938444444.444445,620483.6601307193,6831099.999999999
3,1,136621.99999999997,136621.99999999997,6763432211.753362,0.0,551445.086705029,60430953.757225424,3174439884.393064,515387.28323699423,6831099.999999999
3,2,136621.99999999997,108530.00000000001,48760174.509803824,0.0,-1381658.8235294165,60172921.568627454,4670356862.745097,817575.1633986929,5426500.000000001
3,3,136621.99999999997,136621.99999999997,15551980403.39321,0.0,414970.0598801281,75245676.64670658,4125194011.9760485,663233.5329341321,6831099.999999998
3,4,136621.99999999997,133746.0,111403487.31884056,0.0,-124479.34782609223,78689173.91304348,4103880434.7826085,837836.9565217395,6687300.0
3,5,136621.99999999997,135722.0,52606913.72549064,0.0,-19852.941176476575,63216541.176470585,2894361764.7058825,568423.5294117649,6786100.0
