"county_full","state_id","lng","lat","population","SVI","COUNTY","COUNTYTYPE"
"Abbeville County","SC",-82.4593,34.2226,24368,0.2667,"Abbeville","County"
"Aiken County","SC",-81.6347,33.5443,169865,0.2222,"Aiken","County"
"Alachua County","FL",-82.3577,29.6747,279729,0.2879,"Alachua","County"
"Alleghany County","NC",-81.127,36.4916,10989,0.5758,"Alleghany","County"
"Allendale County","SC",-81.3582,32.9881,8073,1,"Allendale","County"
"Anson County","NC",-80.1027,34.9738,22200,0.899,"Anson","County"
"Ashe County","NC",-81.5004,36.4341,26759,0.1717,"Ashe","County"
"Avery County","NC",-81.9226,36.0765,17679,0.4242,"Avery","County"
"Baker County","FL",-82.2846,30.3311,27969,0.2273,"Baker","County"
"Bamberg County","SC",-81.0542,33.2148,13311,0.8889,"Bamberg","County"
"Barnwell County","SC",-81.4349,33.2661,20653,0.8444,"Barnwell","County"
"Bay County","FL",-85.6203,30.2652,181055,0.4545,"Bay","County"
"Beaufort County","NC",-76.8598,35.494,44711,0.6263,"Beaufort","County"
"Beaufort County","SC",-80.7306,32.3857,189071,0.0667,"Beaufort","County"
"Berkeley County","SC",-79.9522,33.1973,231419,0.2,"Berkeley","County"
"Bertie County","NC",-76.9788,36.0663,17818,0.9192,"Bertie","County"
"Bladen County","NC",-78.5637,34.6146,29807,0.6364,"Bladen","County"
"Bradford County","FL",-82.1687,29.95,27816,0.7273,"Bradford","County"
"Brevard County","FL",-80.7323,28.2937,610723,0.1364,"Brevard","County"
"Broward County","FL",-80.4871,26.1523,1940907,0.8636,"Broward","County"
"Brunswick County","NC",-78.2383,34.0715,139721,0.0101,"Brunswick","County"
"Calhoun County","FL",-85.1972,30.406,13753,0.7121,"Calhoun","County"
"Calhoun County","SC",-80.7803,33.6749,14145,0.4222,"Calhoun","County"
"Camden County","NC",-76.208,36.3891,10547,0.0505,"Camden","County"
"Carteret County","NC",-76.6589,34.8357,68353,0.1111,"Carteret","County"
"Caswell County","NC",-79.3335,36.3932,22747,0.4646,"Caswell","County"
"Charleston County","SC",-79.953,32.8348,409840,0.1333,"Charleston","County"
"Charlotte County","FL",-81.9114,26.9058,189900,0.1818,"Charlotte","County"
"Chatham County","NC",-79.2554,35.7026,76754,0.0404,"Chatham","County"
"Cherokee County","NC",-84.0635,35.1339,28868,0.1414,"Cherokee","County"
"Cherokee County","SC",-81.6206,35.0481,56200,0.4444,"Cherokee","County"
"Chesterfield County","SC",-80.1587,34.6398,43536,0.8,"Chesterfield","County"
