"county_full","state_id","lng","lat","population","SVI","COUNTY","COUNTYTYPE","HRCN_HLRR"
"Alachua County","FL",-82.3577,29.6747,279729,0.2879,"Alachua","County","Relatively High"
"Allendale County","SC",-81.3582,32.9881,8073,1,"Allendale","County","Very High"
"Anson County","NC",-80.1027,34.9738,22200,0.899,"Anson","County","Relatively High"
"Bamberg County","SC",-81.0542,33.2148,13311,0.8889,"Bamberg","County","Relatively High"
"Barnwell County","SC",-81.4349,33.2661,20653,0.8444,"Barnwell","County","Relatively High"
"Bay County","FL",-85.6203,30.2652,181055,0.4545,"Bay","County","Very High"
"Beaufort County","NC",-76.8598,35.494,44711,0.6263,"Beaufort","County","Very High"
"Beaufort County","SC",-80.7306,32.3857,189071,0.0667,"Beaufort","County","Very High"
"Berkeley County","SC",-79.9522,33.1973,231419,0.2,"Berkeley","County","Very High"
"Bertie County","NC",-76.9788,36.0663,17818,0.9192,"Bertie","County","Very High"
"Bladen County","NC",-78.5637,34.6146,29807,0.6364,"Bladen","County","Very High"
"Bradford County","FL",-82.1687,29.95,27816,0.7273,"Bradford","County","Relatively High"
"Brevard County","FL",-80.7323,28.2937,610723,0.1364,"Brevard","County","Very High"
"Broward County","FL",-80.4871,26.1523,1940907,0.8636,"Broward","County","Relatively High"
"Brunswick County","NC",-78.2383,34.0715,139721,0.0101,"Brunswick","County","Very High"
"Calhoun County","FL",-85.1972,30.406,13753,0.7121,"Calhoun","County","Relatively High"
"Camden County","NC",-76.208,36.3891,10547,0.0505,"Camden","County","Relatively High"
"Carteret County","NC",-76.6589,34.8357,68353,0.1111,"Carteret","County","Very High"
"Charleston County","SC",-79.953,32.8348,409840,0.1333,"Charleston","County","Very High"
"Charlotte County","FL",-81.9114,26.9058,189900,0.1818,"Charlotte","County","Very High"
"Chesterfield County","SC",-80.1587,34.6398,43536,0.8,"Chesterfield","County","Relatively High"
"Chowan County","NC",-76.6079,36.1508,13835,0.5051,"Chowan","County","Relatively High"
"Citrus County","FL",-82.4794,28.8489,155173,0.197,"Citrus","County","Very High"
"Clarendon County","SC",-80.2164,33.6658,31163,0.8667,"Clarendon","County","Relatively High"
