"county_full","state_id","lng","lat","population","SVI","COUNTY","COUNTYTYPE"
"Acadia Parish","LA",-92.412,30.2906,57674,0.6032,"Acadia","Parish"
"Adams County","MS",-91.3535,31.4829,29425,0.8025,"Adams","County"
"Alachua County","FL",-82.3577,29.6747,279729,0.2879,"Alachua","County"
"Allen Parish","LA",-92.828,30.653,22798,0.619,"Allen","Parish"
"Amite County","MS",-90.8044,31.1744,12683,0.4691,"Amite","County"
"Anderson County","TX",-95.6525,31.8133,58077,0.7075,"Anderson","County"
"Angelina County","TX",-94.6119,31.2548,86608,0.9289,"Angelina","County"
"Aransas County","TX",-96.9933,28.1254,24048,0.4783,"Aransas","County"
"Ascension Parish","LA",-90.9113,30.2036,126973,0.0159,"Ascension","Parish"
"Assumption Parish","LA",-91.0608,29.9024,21067,0.4127,"Assumption","Parish"
"Attala County","MS",-89.5815,33.0863,17842,0.6914,"Attala","County"
"Austin County","TX",-96.2779,29.887,30406,0.4111,"Austin","County"
"Avoyelles Parish","LA",-92.0014,31.0763,39529,0.8889,"Avoyelles","Parish"
"Baker County","FL",-82.2846,30.3311,27969,0.2273,"Baker","County"
"Baldwin County","AL",-87.7226,30.7277,233420,0.1212,"Baldwin","County"
"Bandera County","TX",-99.2463,29.7472,21182,0.2292,"Bandera","County"
"Barbour County","AL",-85.3932,31.8696,24877,0.9848,"Barbour","County"
"Bay County","FL",-85.6203,30.2652,181055,0.4545,"Bay","County"
"Baylor County","TX",-99.2135,33.6165,3475,0.1462,"Baylor","County"
"Beauregard Parish","LA",-93.3432,30.6486,36553,0.1587,"Beauregard","Parish"
"Bee County","TX",-97.7412,28.4174,30977,0.7747,"Bee","County"
"Bienville Parish","LA",-93.0561,32.3473,12958,0.9206,"Bienville","Parish"
"Blanco County","TX",-98.3999,30.2664,11608,0.0277,"Blanco","County"
"Bolivar County","MS",-90.8805,33.7971,30688,0.9259,"Bolivar","County"
"Borden County","TX",-101.4317,32.7436,686,0.0119,"Borden","County"
"Bosque County","TX",-97.6343,31.9004,18404,0.249,"Bosque","County"
"Bradford County","FL",-82.1687,29.95,27816,0.7273,"Bradford","County"
"Brazoria County","TX",-95.4521,29.1898,374600,0.2727,"Brazoria","County"
"Brazos County","TX",-96.3024,30.6608,234548,0.4269,"Brazos","County"
"Brevard County","FL",-80.7323,28.2937,610723,0.1364,"Brevard","County"
"Brooks County","TX",-98.2187,27.0316,7059,0.8577,"Brooks","County"
"Broward County","FL",-80.4871,26.1523,1940907,0.8636,"Broward","County"
"Bullock County","AL",-85.7157,32.1005,10328,0.9394,"Bullock","County"
"Burleson County","TX",-96.6215,30.4925,17958,0.2055,"Burleson","County"
"Burnet County","TX",-98.1823,30.7884,49684,0.2767,"Burnet","County"
"Butler County","AL",-86.6803,31.7524,18981,0.4848,"Butler","County"
"Calcasieu Parish","LA",-93.3581,30.2293,210770,0.127,"Calcasieu","Parish"
"Caldwell Parish","LA",-92.1166,32.0925,9658,0.8254,"Caldwell","Parish"
"Calhoun County","FL",-85.1972,30.406,13753,0.7121,"Calhoun","County"
"Calhoun County","MS",-89.3365,33.9365,13193,0.5926,"Calhoun","County"
"Calhoun County","TX",-96.6018,28.5074,20127,0.4229,"Calhoun","County"
"Cameron County","TX",-97.5186,26.1332,421854,0.9723,"Cameron","County"
"Cameron Parish","LA",-93.1937,29.8754,5447,0.0476,"Cameron","Parish"
"Camp County","TX",-94.9785,32.9732,12543,0.8103,"Camp","County"
"Carroll County","MS",-89.9202,33.4485,9930,0.2469,"Carroll","County"
"Cass County","TX",-94.3435,33.0775,28637,0.5217,"Cass","County"
