"county_full","state_id","lng","lat","population","SVI","COUNTY","COUNTYTYPE","HRCN_HLRR"
"Acadia Parish","LA",-92.412,30.2906,57674,0.6032,"Acadia","Parish","Very High"
"Alachua County","FL",-82.3577,29.6747,279729,0.2879,"Alachua","County","Relatively High"
"Allen Parish","LA",-92.828,30.653,22798,0.619,"Allen","Parish","Relatively High"
"Amite County","MS",-90.8044,31.1744,12683,0.4691,"Amite","County","Relatively High"
"Aransas County","TX",-96.9933,28.1254,24048,0.4783,"Aransas","County","Very High"
"Ascension Parish","LA",-90.9113,30.2036,126973,0.0159,"Ascension","Parish","Very High"
"Assumption Parish","LA",-91.0608,29.9024,21067,0.4127,"Assumption","Parish","Very High"
"Austin County","TX",-96.2779,29.887,30406,0.4111,"Austin","County","Relatively High"
"Avoyelles Parish","LA",-92.0014,31.0763,39529,0.8889,"Avoyelles","Parish","Relatively High"
"Baldwin County","AL",-87.7226,30.7277,233420,0.1212,"Baldwin","County","Very High"
"Barbour County","AL",-85.3932,31.8696,24877,0.9848,"Barbour","County","Relatively High"
"Bay County","FL",-85.6203,30.2652,181055,0.4545,"Bay","County","Very High"
"Beauregard Parish","LA",-93.3432,30.6486,36553,0.1587,"Beauregard","Parish","Relatively High"
"Bee County","TX",-97.7412,28.4174,30977,0.7747,"Bee","County","Very High"
"Bradford County","FL",-82.1687,29.95,27816,0.7273,"Bradford","County","Relatively High"
"Brazoria County","TX",-95.4521,29.1898,374600,0.2727,"Brazoria","County","Relatively High"
"Brevard County","FL",-80.7323,28.2937,610723,0.1364,"Brevard","County","Very High"
"Brooks County","TX",-98.2187,27.0316,7059,0.8577,"Brooks","County","Very High"
"Broward County","FL",-80.4871,26.1523,1940907,0.8636,"Broward","County","Relatively High"
"Butler County","AL",-86.6803,31.7524,18981,0.4848,"Butler","County","Relatively High"
"Calcasieu Parish","LA",-93.3581,30.2293,210770,0.127,"Calcasieu","Parish","Very High"
"Calhoun County","FL",-85.1972,30.406,13753,0.7121,"Calhoun","County","Relatively High"
"Calhoun County","TX",-96.6018,28.5074,20127,0.4229,"Calhoun","County","Very High"
"Cameron County","TX",-97.5186,26.1332,421854,0.9723,"Cameron","County","Relatively High"
"Cameron Parish","LA",-93.1937,29.8754,5447,0.0476,"Cameron","Parish","Very High"
"Catahoula Parish","LA",-91.847,31.6662,8895,0.6349,"Catahoula","Parish","Relatively High"
"Chambers County","TX",-94.61,29.7384,47037,0.1304,"Chambers","County","Very High"
"Charlotte County","FL",-81.9114,26.9058,189900,0.1818,"Charlotte","County","Very High"
"Childress County","TX",-100.2076,34.5291,6781,0.5296,"Childress","County","Relatively High"
"Choctaw County","AL",-88.2632,32.0198,12669,0.4091,"Choctaw","County","Very High"
"Citrus County","FL",-82.4794,28.8489,155173,0.197,"Citrus","County","Very High"
"Clarke County","AL",-87.8308,31.6767,23058,0.7727,"Clarke","County","Relatively High"
"Clarke County","MS",-88.6894,32.0414,15553,0.3827,"Clarke","County","Relatively High"
"Coffee County","AL",-85.9882,31.4027,53559,0.4545,"Coffee","County","Very High"
"Collier County","FL",-81.3474,26.1108,380221,0.3788,"Collier","County","Very High"
"Colorado County","TX",-96.5263,29.6208,20582,0.498,"Colorado","County","Very High"
"Columbia County","FL",-82.6215,30.2242,69832,0.7727,"Columbia","County","Relatively High"
"Comanche County","TX",-98.5582,31.948,13651,0.4308,"Comanche","County","Relatively High"
"Concordia Parish","LA",-91.6401,31.4459,18677,0.9683,"Concordia","Parish","Relatively High"
"Conecuh County","AL",-86.9937,31.4293,11576,0.2273,"Conecuh","County","Relatively High"
"Covington County","AL",-86.4513,31.2485,37542,0.5455,"Covington","County","Very High"
"Covington County","MS",-89.5526,31.6332,18323,0.284,"Covington","County","Relatively High"
"Crenshaw County","AL",-86.3136,31.7315,13205,0.4394,"Crenshaw","County","Very High"
