disasterNumber,county,state,type1,type2,event_name,event_title,SS_scale2,SS_scale,year,longitude,latitude,wind_34_down,wind_34_50,wind_50_64,wind_64_up,node1,node2,node3,node4,node5,node6,node7,node8,node9,SVI,population,homeownership_rate,hwm,wind_50_up,homeowner_rate,occupied_house,homeowner_occupied,type1,type2,assisstance_rate_type1,assisstance_rate_type2
4570,Acadia Parish,LA,207,83,1,HURRICANE DELTA,1,2,2020,-92.412,30.2906,6,1,2,0,46.38902221,27.82687901,67.58938192,142.6195948,203.2316297,259.9709597,313.8273497,367.9503697,423.176568,0.9134,57455,70.03849,0,2,70.03849,"22,029",15428.77896,207,83,0.013416486,0.005379557
4570,Allen Parish,LA,32,36,1,HURRICANE DELTA,1,2,2020,-92.828,30.653,6,2,1,0,53.19364428,33.45574009,55.35031767,132.9624669,195.525486,254.9754115,310.8653343,367.0022796,424.2224886,0.768,22697,73.80405,0,1,73.80405,"7,851",5794.355966,32,36,0.005522615,0.006212942
4570,Beauregard Parish,LA,66,41,1,HURRICANE DELTA,1,2,2020,-93.3432,30.6486,6,3,0,0,52.55922078,40.20279403,74.22650994,149.3107941,212.0691834,272.7456203,329.5791773,386.6886265,444.8651568,0.5942,36573,80.53512,0,0,80.53512,"13,797",11111.43051,66,41,0.005939829,0.003689894
4570,Calcasieu Parish,LA,541,551,1,HURRICANE DELTA,1,2,2020,-93.358,30.2293,7,0,2,0,29.09525704,25.04352875,92.34986904,169.5188338,232.2601769,292.113327,348.2098872,404.4548198,461.6671312,0.7623,216416,70.19434,0,2,70.19434,"83,865",58868.48324,541,551,0.009189977,0.009359847
4570,Cameron Parish,LA,34,63,1,HURRICANE DELTA,1,2,2020,-93.1937,29.8754,7,0,1,1,6.665367787,20.4016731,105.0874463,182.772367,244.9945437,303.5882872,358.6290693,413.7295597,469.731845,0.2362,5619,87.04185,0,2,87.04185,"2,121",1846.157639,34,63,0.018416629,0.03412493
4570,Iberia Parish,LA,208,73,1,HURRICANE DELTA,1,2,2020,-91.7301,29.8965,6,3,0,0,71.66869561,62.12919728,93.60134115,157.4413751,212.6409879,264.0890193,314.1063727,364.6912367,416.5896943,0.9733,69725,67.90411,0,0,67.90411,"27,016",18344.97436,208,73,0.011338255,0.003979291
4570,Jefferson Davis Parish,LA,87,60,1,HURRICANE DELTA,1,2,2020,-92.8141,30.2677,6,1,0,2,31.81308055,11.02631984,75.09368775,152.5702537,214.5482727,272.8939657,327.8673703,383.0123944,439.1746662,0.8084,32166,78.2544,0,2,78.2544,"12,197",9544.689168,87,60,0.009115017,0.006286218
4570,Lafayette Parish,LA,281,94,1,HURRICANE DELTA,1,2,2020,-92.0639,30.2068,6,3,0,0,59.22854468,43.93646808,72.07927246,142.0183171,200.4508183,255.0500295,307.4138,360.1842542,414.1622564,0.7766,242004,68.74447,0,0,68.74447,"97,428",66976.36223,281,94,0.00419551,0.00140348
4570,Rapides Parish,LA,50,66,1,HURRICANE DELTA,1,2,2020,-92.5332,31.1986,6,3,0,0,89.06301768,68.71895542,20.96649807,97.31576654,160.0640188,220.1414747,276.6322375,333.5047549,391.5879295,0.9198,129607,65.09051,0,0,65.09051,"51,268",33370.60267,50,66,0.001498325,0.001977789
4570,St. Landry Parish,LA,185,52,1,HURRICANE DELTA,1,2,2020,-92.0058,30.5989,6,3,0,0,74.42680659,55.24380375,49.19132894,118.4336501,177.5157791,233.1129948,286.3900947,340.1446081,395.174194,0.8727,82273,69.07246,0,0,69.07246,"32,499",22447.85878,185,52,0.008241321,0.002316479
