"year","Time","Latitude","Longitude","Max.Winds","SS","RMW","Central","States","Storm","month"
1852,"1200Z",23.8,-81.1,90,2,"---","-970","BFL2","---------------",8
1853,"0600Z",30.9,-80.9,70,1,"---","-965","GA1","---------------",10
1854,"2000Z",31.7,-81.1,100,3,"40","950","GA3,SC2,DFL1","""Great Carolina""",9
1857,"0000Z",33.9,-78,90,2,"---","961","NC2","---------------",9
1861,"1700Z",34.5,-77.4,70,1,"---","-985","NC1","""Equinoctial""",9
1861,"1000Z",34.7,-76.6,70,1,"---","-985","NC1","""Expedition""",11
1865,"1400Z",25.4,-81.1,90,2,"---","-969","BFL2,CFL1","---------------",10
1867,"1400Z",32.9,-79.7,70,1,"---","-985","SC1","---------------",6
1870,"0500Z",24.6,-80.8,70,1,"---","-970","BFL1,CFL1","""Twin Key West (I)""",10
1871,"0200Z",27.1,-80.2,100,3,"30","955","CFL3,DFL1,AFL1","---------------",8
1871,"0500Z",27.6,-80.3,90,2,"---","-965","CFL2,DFL1","---------------",8
1874,"1800Z",32.8,-80,80,1,"---","981","SC1,NC1","---------------",9
1876,"1400Z",34.4,-77.6,80,1,"---","980","NC1,VA1","---------------",9
1876,"0500Z",25.8,-81.4,90,2,"---","973","BFL2,CFL1","---------------",10
1878,"1200Z",32.5,-80.4,80,1,"---","-976","SC1,GA1","---------------",9
1878,"0400Z",34.8,-77.1,90,2,"---","-963","NC2,VA1,MD1,DE1, NJ1,IPA1","---------------",10
1879,"1200Z",34.5,-76.8,100,3,"15","971","NC3,VA2","---------------",8
1880,"1200Z",28.2,-80.6,90,2,"---","972","CFL2,DFL1","---------------",8
1880,"1000Z",34.7,-77.1,70,1,"---","987","NC1","---------------",9
1881,"0200Z",31.7,-81.1,90,2,"15","970","GA2,SC1","---------------",8
1881,"1600Z",33.9,-78.1,90,2,"15","975","NC2","---------------",9
1883,"1300Z",33.9,-78.5,90,2,"---","-965","NC2,SC1","---------------",9
1885,"1200Z",32.6,-80.1,90,2,"---","970","SC2,NC1,GA1,DFL1","---------------",8
1887,"1200Z",35,-75,65,1,"---","-946","NC1","---------------",8
1888,"1900Z",25.8,-80.1,110,3,"---","-945","CFL3,BFL1","---------------",8
1891,"1500Z",25.4,-80.2,70,1,"---","-985","CFL1","---------------",8
1893,"0500Z",31.7,-81.1,100,3,"25","954","GA3,SC3,INC1,DFL1","""Sea Islands""",8
1893,"1300Z",33,-79.5,105,3,"15","955","SC3,NC2,IVA1","---------------",10
1894,"0700Z",32.3,-80.7,80,1,"---","-976","SC1","---------------",9
1898,"0700Z",32.1,-80.8,75,1,"---","-980","GA1,SC1","---------------",8
1898,"1600Z",30.9,-81.4,115,4,"20","938","GA4,DFL2","---------------",10
1899,"0100Z",35.2,-75.8,105,3,"---","-945","NC3","---------------",8
1899,"0900Z",33.6,-79,95,2,"35","955","NC2,SC2","---------------",10
1901,"0700Z",36,-75.8,70,1,"---","-983","NC1","---------------",7
1903,"2300Z",26.1,-80.1,75,1,"45","976","CFL1","---------------",9
1904,"1300Z",33.1,-79.2,70,1,"---","-985","SC1","---------------",9
1904,"0800Z",25.3,-80.3,70,1,"---","-985","CFL1","---------------",10
1906,"0300Z",24.7,-81.1,70,1,"---","-986","BFL1,CFL1","---------------",6
1906,"0800Z",25.2,-80.7,75,1,"25","979","CFL1","---------------",6
1906,"2200Z",33.3,-79.2,80,1,"30","977","SC1,NC1","---------------",9
1906,"1000Z",24.7,-81.1,105,3,"10","953","BFL3,CFL3","---------------",10
1906,"1200Z",25.3,-80.7,105,3,"10","953","CFL3,BFL1","---------------",10
1908,"1100Z",34.6,-77.1,70,1,"---","-985","NC1","---------------",7
1909,"1800Z",24.7,-81,100,3,"20","957","BFL3,CFL3","---------------",10
1911,"1000Z",32.2,-80.7,85,2,"25","972","GA1,SC2","---------------",8
1913,"0800Z",34.7,-76.6,75,1,"40","976","NC1","---------------",9
1913,"1400Z",33.1,-79.4,65,1,"---","-989","SC1","---------------",10
1915,"1800Z",28.7,-80.8,65,1,"15","990","DFL1","---------------",8
1916,"0800Z",32.9,-79.5,95,2,"20","960","SC2","---------------",7
1918,"2100Z",34.8,-76.8,65,1,"30","-988","NC1","---------------",8
