"","Year","Category","Next_Category","Count","Transition_Prob"
"1",2024,1,1,9856,0.992947813822285
"2",2024,1,2,70,0.00705218617771509
"3",2024,2,1,73,0.986486486486487
"4",2024,2,2,1,0.0135135135135135
"5",2025,1,1,9865,0.99355423506899
"6",2025,1,2,64,0.00644576493101017
"7",2025,2,1,71,1
"8",2026,1,1,9854,0.991747181964573
"9",2026,1,2,82,0.00825281803542673
"10",2026,2,1,64,1
"11",2027,1,1,9843,0.992437991530551
"12",2027,1,2,75,0.00756200846944949
"13",2027,2,1,82,1
"14",2028,1,1,9839,0.991335012594458
"15",2028,1,2,86,0.00866498740554156
"16",2028,2,1,74,0.986666666666667
"17",2028,2,2,1,0.0133333333333333
"18",2029,1,1,9862,0.994855240593161
"19",2029,1,2,51,0.0051447594068395
"20",2029,2,1,87,1
"21",2030,1,1,9884,0.993466680068349
"22",2030,1,2,65,0.00653331993165142
"23",2030,2,1,51,1
"24",2031,1,1,9862,0.992652239557121
"25",2031,1,2,73,0.00734776044287871
"26",2031,2,1,64,0.984615384615385
"27",2031,2,2,1,0.0153846153846154
"28",2032,1,1,9856,0.992947813822285
"29",2032,1,2,70,0.00705218617771509
"30",2032,2,1,74,1
"31",2033,1,1,9851,0.992044310171198
"32",2033,1,2,79,0.00795568982880161
"33",2033,2,1,70,1
