stage,state,Staging Area Capacity,Inventory Level,obj,staging_area_expand_cost,inventory_expand_cost,replenmship_cost,Shortage_cost,acquire_cost,holding_cost
0,0,385864,383635,66404006004,5421988804,26470815000,19643618280,2480881200,351610200,1323540750
0,1,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0
0,4,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0,0
1,0,389035,383635,29636255534,45261268.5,0,17328030720,3891061800,450597600,1323540750
1,1,385864,269497,17790526670,0,-4725313200,9977709120,0,175803720,929764650
1,2,385864,321789,11070658153,0,-2560424400,3054906000,0,231917280,1110172050
1,3,385864,383635,30404564959,0,0,19583557920,2480881200,411670560,1323540750
1,4,385864,269497,16370940404,0,-4725313200,8556452640,0,186912720,929764650
1,5,385864,269497,9987123150,0,-4725313200,2266801800,0,118271520,929764650
2,0,386881.4332,381481.4332,30498250968,6535049.463,4601878251,17524032578,4009938690,230820364.5,1316110944
2,1,386418.925,269497,16333293674,0,-2075778923,9996192668,0,157320172.5,929764650
2,2,386590.6875,298911.25,9635008968,0,-995720600,3034540650,315712950,189140040,1031243813
2,3,386539.7869,384310.7869,31158563684,0,4701875295,19644112018,2443577764,358577148.9,1325872215
2,4,386414.6527,269497,15091523060,0,-1916847765,8479252002,0,264113357.6,929764650
2,5,386462.3019,269497,8306752763,0,-2296866792,2291319713,0,93753606.79,929764650
3,0,386601.4419,375992.2151,29289613404,0,4356138890,19598023914,2924021184,308576568.8,1297173142
3,1,386550.1228,240836,12326423164,0,-3023724537,9890791281,0,262721559.3,830884200
3,2,386575.4423,296983.8205,5477228587,0,-1148490669,3088274948,342311476.9,130086036.2,1024594181
3,3,386630.1477,343486.2104,28116061447,0,2337063043,17065633843,6189849243,253236988.8,1185027426
3,4,386456.3846,223830,10862762191,0,-3737551737,8540656705,0,202708654.9,772213500
3,5,386554.1588,269497,4471954131,0,-2035557635,2292734711,0,92338608.71,929764650
4,0,386555.5479,365634.5957,29912821430,0,5007425343,19395705846,3756230148,344452844.7,1261439355
4,1,386616.0962,226536.7885,9841694297,0,-2680803882,9755151000,398210676.9,318719704.6,781551920.2
4,2,386784.6129,201306.1167,2848481851,0,-3778961856,2709216607,1662663790,245073915.1,694506102.5
4,3,386383.2281,329515.4352,28279685255,0,2656602088,16875814483,7132650401,254496116.4,1136828251
4,4,386538.2931,201306.1167,7769631158,0,-3490771844,8277473604,491965170,367498722.1,694506102.5
4,5,386494.1346,201306.1167,1670267656,0,-3492563769,2092513642,941034190,104352840,694506102.5
5,0,386613.5091,362500.303,32350825317,0,7408017868,19298710146,4000970855,392500402.9,1250626045
5,1,386501.9527,210895.4298,9892385584,0,-2148897364,9567436652,1450226093,296030969.5,727589232.8
5,2,386558.7697,58936,-905427386.9,0,-8568004347,1990326754,5215530600,253390405.6,203329200
5,3,386548.6477,319994.1953,30041100291,0,4235331576,16713168719,7681185076,307434945.4,1103979974
5,4,386581.9623,177366,7908778716,0,-2836899024,7994758531,1737999600,401006909.4,611912700
5,5,386547.9412,38043,-2219565736,0,-8978658766,1114977548,5303464200,209402931.8,131248350
,2.5,386525.1727,273823.6605,15807272778,1726543.932,-1154604372,9933275892,2078982837,253764240.5,944691628.6
