stage,state,Staging Area Capacity,Inventory Level,obj
0,0,21830.979489436315,21830.979489436315,3531090781.488925
0,1,0.0,0.0,0.0
0,2,0.0,0.0,0.0
0,3,0.0,0.0,0.0
0,4,0.0,0.0,0.0
0,5,0.0,0.0,0.0
0,6,0.0,0.0,0.0
0,7,0.0,0.0,0.0
0,8,0.0,0.0,0.0
1,0,2423.2387233274203,2423.2387233274203,391951076.74527615
1,1,2576.055579753474,2576.055579753474,416668712.21569884
1,2,2292.252846390803,2292.252846390803,370764532.0563424
1,3,2554.2246002640377,2554.2246002640377,413137621.4342099
1,4,2576.057999999999,2576.057999999999,416668712.21569884
1,5,2423.2409999999986,2423.2409999999986,391951076.74527615
1,6,2073.9430514964406,2073.9430514964406,335453624.2414529
1,7,2423.2409999999986,2423.2409999999986,391951076.74527615
1,8,2660.417999999999,2660.417999999999,402544349.089743
2,0,2512.8286873239176,2512.8286873239176,402544349.089743
2,1,2913.316646302791,2913.316646302791,466103983.1565442
2,2,2106.3168103872995,2106.3168103872995,338984715.0229418
2,3,2509.816789876736,2509.816789876736,402544349.089743
2,4,2658.1157078344813,2658.1157078344813,427261984.5601657
2,5,2684.4647078344815,2684.4647078344815,430793075.34165466
2,6,2042.3298719189904,2042.3298719189904,328391442.67847496
2,7,2286.9887898767365,2286.9887898767365,367233441.27485347
2,8,2288.494789876736,2288.494789876736,367233441.27485347
3,0,0.0,0.0,0.0
3,1,0.0,0.0,0.0
3,2,0.0,0.0,0.0
3,3,0.0,0.0,0.0
3,4,0.0,0.0,0.0
3,5,0.0,0.0,0.0
3,6,0.0,0.0,0.0
3,7,0.0,0.0,0.0
3,8,0.0,0.0,0.0
