Tract,CountyFips,BldgSchemesId,Tract6,TractArea,Length,NumAggrBocks,CenLat,CenLongit,ESRI_OID,FID,CountyFips_1,CountyFi_1,CountyName,State,StateFips,NumTracts
45001950100,45001,1,950100,126.3209763,178.0618439,128,34.410229,-82.334969,1,621,45001,1,Abbeville,SC,45,7
45001950200,45001,1,950200,191.8804626,263.6694336,150,34.335674,-82.405144,2,621,45001,1,Abbeville,SC,45,7
45001950300,45001,1,950300,262.8740234,339.444519,153,34.264503,-82.578766,3,621,45001,1,Abbeville,SC,45,7
45001950401,45001,1,950401,58.9611206,101.6289062,101,34.18882,-82.400734,4,621,45001,1,Abbeville,SC,45,7
45001950402,45001,1,950402,141.7676849,181.3448181,74,34.228222,-82.346794,5,621,45001,1,Abbeville,SC,45,7
45001950500,45001,1,950500,285.8823853,313.7558289,184,34.157089,-82.375542,6,621,45001,1,Abbeville,SC,45,7
45001950600,45001,1,950600,257.2532959,237.9445038,160,34.114128,-82.576134,7,621,45001,1,Abbeville,SC,45,7
45003020100,45003,1,20100,349.8439331,631.8914185,276,33.768105,-81.564667,8,622,45003,3,Aiken,SC,45,43
45003020200,45003,1,20200,250.0917053,440.1635742,158,33.650856,-81.652412,9,622,45003,3,Aiken,SC,45,43
45003020301,45003,1,20301,95.0319214,179.1809235,78,33.656723,-81.804329,10,622,45003,3,Aiken,SC,45,43
45003020303,45003,1,20303,18.7282333,58.4596329,52,33.605774,-81.716316,11,622,45003,3,Aiken,SC,45,43
45003020304,45003,1,20304,50.2531509,116.6387253,73,33.601765,-81.76416,12,622,45003,3,Aiken,SC,45,43
45003020401,45003,1,20401,40.6920547,108.7793045,65,33.564865,-81.841576,13,622,45003,3,Aiken,SC,45,43
45003020402,45003,1,20402,6.7033095,44.2957764,79,33.56356,-81.811134,14,622,45003,3,Aiken,SC,45,43
45003020500,45003,1,20500,35.3196182,145.8726044,97,33.570938,-81.944916,15,622,45003,3,Aiken,SC,45,43
45003020601,45003,1,20601,25.4764328,60.6214561,42,33.552837,-81.900169,16,622,45003,3,Aiken,SC,45,43
45003020603,45003,1,20603,4.0343418,33.3200722,67,33.523083,-81.937828,17,622,45003,3,Aiken,SC,45,43
45003020604,45003,1,20604,8.9446907,54.32164,75,33.541752,-81.943481,18,622,45003,3,Aiken,SC,45,43
45003020701,45003,1,20701,10.3456173,76.7352982,128,33.524113,-81.966942,19,622,45003,3,Aiken,SC,45,43
45003020702,45003,1,20702,7.3628716,60.5523071,115,33.503063,-81.951485,20,622,45003,3,Aiken,SC,45,43
45003020801,45003,1,20801,7.822083,38.8819923,52,33.516754,-81.987633,21,622,45003,3,Aiken,SC,45,43
45003020802,45003,1,20802,8.0954504,65.8335953,158,33.494751,-81.971542,22,622,45003,3,Aiken,SC,45,43
45003020901,45003,1,20901,83.7413101,154.7433167,73,33.405952,-81.87175,23,622,45003,3,Aiken,SC,45,43
45003020903,45003,1,20903,45.8783035,98.8052979,34,33.466999,-81.814934,24,622,45003,3,Aiken,SC,45,43
