County,CC_C18,CC_NC18,CC_65,S_C18,S_NC18,S_65
Abbeville County,14%,35%,,7%,30%,15%
Aiken County,17%,39%,,7%,29%,12%
Allendale County,7%,38%,,9%,39%,22%
Anderson County,20%,25%,,6%,28%,12%
Bamberg County,13%,37%,,9%,32%,17%
Barnwell County,10%,34%,,10%,36%,16%
Beaufort County,15%,30%,,5%,26%,13%
Berkeley County,22%,46%,,8%,23%,9%
Calhoun County,13%,36%,,7%,34%,16%
Charleston County,17%,33%,,5%,33%,11%
Cherokee County,14%,33%,,6%,38%,14%
Chester County,13%,31%,,6%,29%,14%
Chesterfield County,16%,37%,,9%,29%,13%
Clarendon County,12%,35%,,6%,31%,18%
Colleton County,14%,37%,,9%,31%,14%
Darlington County,16%,34%,,9%,33%,15%
Dillon County,17%,29%,,11%,29%,12%
Dorchester County,23%,28%,,8%,25%,8%
Edgefield County,14%,36%,,7%,26%,13%
Fairfield County,8%,40%,,7%,34%,14%
Florence County,17%,35%,,8%,31%,13%
Georgetown County,12%,31%,,6%,27%,16%
Greenville County,22%,44%,,6%,28%,10%
Greenwood County,15%,33%,,10%,34%,14%
Hampton County,14%,31%,,8%,31%,16%
Horry County,14%,35%,,6%,29%,14%
Jasper County,12%,42%,,6%,28%,11%
Kershaw County,19%,40%,,6%,28%,11%
Lancaster County,20%,37%,,6%,25%,13%
Laurens County,16%,40%,,8%,28%,12%
Lee County,10%,37%,,6%,38%,15%
Lexington County,22%,30%,,7%,27%,10%
Marion County,3%,34%,,5%,32%,17%
Marlboro County,10%,49%,,11%,36%,16%
McCormick County,9%,26%,,8%,40%,19%
Newberry County,18%,30%,,9%,26%,13%
Oconee County,15%,36%,,7%,29%,12%
Orangeburg County,10%,41%,,9%,36%,16%
Pickens County,20%,30%,,4%,27%,11%
Richland County,17%,35%,,10%,34%,10%
Saluda County,20%,28%,,6%,26%,11%
Spartanburg County,22%,37%,,7%,26%,11%
Sumter County,17%,34%,,8%,31%,12%
Union County,14%,31%,,10%,32%,13%
Williamsburg County,13%,33%,,7%,35%,18%
York County,24%,27%,,8%,24%,9%
