County,S_Shelter_housedhold,L_Shelter_housedhold,demand
Abbeville,0,0,0
Aiken,26,32,58
Allendale,5,6,11
Anderson,0,0,0
Bamberg,10,13,23
Barnwell,11,12,23
Beaufort,359,528,887
Berkeley,324,468,792
Calhoun,8,10,18
Charleston,1428,1983,3411
Cherokee,0,0,0
Chester,0,0,0
Chesterfield,0,0,0
Clarendon,17,18,35
Colleton,74,94,168
Darlington,0,0,0
Dillon,0,0,0
Dorchester,260,376,636
Edgefield,3,5,8
Fairfield,2,2,4
Florence,2,2,4
Georgetown,2,4,6
Greenville,0,0,0
Greenwood,0,0,0
Hampton,16,19,35
Horry,0,0,0
Jasper,25,33,58
Kershaw,3,9,12
Lancaster,0,0,0
Laurens,0,0,0
Lee,0,1,1
Lexington,60,88,148
McCormick,0,0,0
Marion,0,0,0
Marlboro,0,0,0
Newberry,0,3,3
Oconee,0,0,0
Orangeburg,65,73,138
Pickens,0,0,0
Richland,86,99,185
Saluda,2,4,6
Spartanburg,0,0,0
Sumter,23,23,46
Union,0,0,0
Williamsburg,7,7,14
York,0,0,0
