Region,Fairness_region
-1,-1
0.701923077,0.68627451
0.730434783,0.68627451
0.659340659,0.68627451
0.712962963,0.68627451
0.669811321,0.68627451
0.730337079,0.68627451
0.685185185,0.68627451
0.698113208,0.68627451
0.727272727,0.68627451
0.714285714,0.68627451
-1,-1
0.673076923,0.68627451
0.764705882,0.68627451
0.695238095,0.68627451
-1,-1
0.602040816,0.68627451
0.608695652,0.68627451
-1,-1
0.757281553,0.68627451
0.692307692,0.68627451
0.75,0.68627451
0.7,0.68627451
-1,-1
-1,-1
0.744897959,0.68627451
0.74,0.68627451
0.682692308,0.68627451
0.702970297,0.68627451
0.663461538,0.68627451
0.754716981,0.68627451
0.645833333,0.68627451
-1,-1
0.713114754,0.68627451
0.784313725,0.68627451
0.645833333,0.68627451
-1,-1
0.705357143,0.68627451
0.684782609,0.68627451
0.669811321,0.68627451
0.615384615,0.68627451
0.650485437,0.68627451
0.68627451,0.68627451
-1,-1
0.745283019,0.68627451
0.608695652,0.68627451
