Time,Inventory
0,26478.94
1,26478.94
2,26478.94
3,20388.95
4,20388.95
5,20388.95
6,26478.94
7,26478.94
8,26478.94
9,14509.56
10,14509.56
11,14509.56
12,26478.94
13,26478.94
14,26478.94
15,19287.97
16,19287.97
17,19287.97
18,26478.94
19,26478.94
20,26478.94
21,22138.1
22,22138.1
23,10545.79
24,26478.94
25,14935.01
26,14935.01
27,14935.01
28,5853.74
29,0
30,26478.94
31,16699.81
32,16699.81
33,16699.81
34,0
35,0
36,26478.94
37,26478.94
38,26478.94
39,15736.22
40,10466.79
41,10466.79
42,26478.94
43,26478.94
44,26478.94
45,26478.94
46,26478.94
47,26478.94
48,26478.94
49,20680.74
50,20680.74
51,20680.74
52,20680.74
53,5989.31
54,26478.94
55,26478.94
56,16898.62
57,7527.67
58,0
59,0
60,26478.94
