Time,Inventory
0,8162.27
1,8162.27
2,8162.27
3,8162.27
4,3562.22
5,0
6,8162.27
7,8162.27
8,8162.27
9,4196.95
10,4196.95
11,0
12,8162.27
13,8162.27
14,8162.27
15,8162.27
16,1536.32
17,1536.32
18,8162.27
19,8162.27
20,8162.27
21,8162.27
22,1255.48
23,1255.48
24,8162.27
25,8162.27
26,8162.27
27,8162.27
28,2403.41
29,0
30,8162.27
31,4465.02
32,1971.21
33,1971.21
34,1971.21
35,0
36,8162.27
37,3252.05
38,3252.05
39,0
40,0
41,0
42,8162.27
43,8162.27
44,8162.27
45,5620.62
46,0
47,0
48,8162.27
49,8162.27
50,8162.27
51,3620.08
52,3620.08
53,0
54,8162.27
55,8162.27
56,5140.23
57,3456.03
58,0
59,0
60,8162.27
