,Operation_Cost,Holding_Cost,Unmet_Cost,Replenish_Cost,Victim_value
0,56746711,148650868,0,616374172,177835343
1,85439965,134062087,0,923856341,266951427
2,44448780,148590893,0,474428371,136972850
3,45876324,147815774,0,494536954,143227481
4,61687878,145080587,0,684717863,198247580
5,99258219,89574724,0,1083896573,313245382
6,70327025,106005376,0,758749583,219282215
7,99180175,118136266,0,1091676082,315208839
8,63863788,140350871,0,700149432,201731413
9,132385328,91214081,0,1443087241,416878993
,,,,,
,75921419,126948153,0,827147261,238958152
,,,,,
,0,1,2,3,4
0,56746711,108013704,0,616374172,177835343
1,85439965,93424924,0,923856341,266951427
2,44448780,107953729,0,474428371,136972850
3,45876324,107178611,0,494536954,143227481
4,61687878,104443423,0,684717863,198247580
5,99258219,48937560,0,1083896573,313245382
6,70327025,65368213,0,758749583,219282215
7,99180175,77499103,0,1091676082,315208839
8,63863788,99713708,0,700149432,201731413
9,99945081,67995553,588944400,1091676082,330991268
